"outcomes" -- "depression"
"ichthyology" -- "systematics"
"quantum information" -- "quantum physics"
"quantum information" -- "open quantum systems"
"quantum information" -- "quantum computing"
"quantum information" -- "quantum control"
"quantum information" -- "quantum mechanics"
"mass transfer" -- "cfd"
"mass transfer" -- "heat"
"optoelectronic devices" -- "nanomaterials"
"life history" -- "ecology"
"economic geography" -- "innovation"
"economic geography" -- "regional development"
"medieval history" -- "history"
"terahertz" -- "thz"
"terahertz" -- "metamaterials"
"piezoelectric" -- "energy harvesting"
"piezoelectric" -- "ferroelectrics"
"algae" -- "biofuels"
"polymer composites" -- "nanocomposites"
"optical sensors" -- "photonics"
"applied ethics" -- "ethics"
"finite element modeling" -- "biomechanics"
"taxonomy" -- "systematics"
"sustainable design" -- "architecture"
"conservation ecology" -- "landscape ecology"
"construction engineering" -- "management"
"optofluidics" -- "microfluidics"
"geologia" -- "gis"
"li-ion batteries" -- "supercapacitors"
"cultural heritage" -- "computer graphics"
"genetic engineering" -- "molecular biology"
"nursing" -- "mental health"
"nursing" -- "nursing education"
"hybridization" -- "speciation"
"processing" -- "modeling"
"user interfaces" -- "user experience"
"depression" -- "suicide"
"depression" -- "brain stimulation"
"depression" -- "treatment"
"depression" -- "stress"
"depression" -- "anxiety"
"climate change adaptation" -- "food security"
"parenting" -- "child development"
"parenting" -- "early childhood"
"parenting" -- "attachment"
"software engineering" -- "software testing"
"software engineering" -- "program analysis"
"software engineering" -- "requirements engineering"
"software engineering" -- "software quality"
"software engineering" -- "model-driven engineering"
"software engineering" -- "empirical software engineering"
"software engineering" -- "mining software repositories"
"software engineering" -- "information systems"
"software engineering" -- "software security"
"software engineering" -- "software evolution"
"software engineering" -- "computing education"
"software engineering" -- "computer science"
"software engineering" -- "programming languages"
"software engineering" -- "testing"
"software engineering" -- "formal methods"
"software engineering" -- "computer science education"
"software engineering" -- "software architecture"
"software engineering" -- "systems engineering"
"structural dynamics" -- "earthquake engineering"
"structural dynamics" -- "structural health monitoring"
"structural dynamics" -- "aeroelasticity"
"structural dynamics" -- "wind engineering"
"structural dynamics" -- "vibration control"
"structural dynamics" -- "vibration"
"analog" -- "rf"
"time" -- "memory"
"spatial cognition" -- "navigation"
"animal breeding" -- "genetics"
"bioenergy" -- "biomass"
"bioenergy" -- "biofuels"
"computer science" -- "artificial intelligence"
"computer science" -- "informatics"
"computer science" -- "programming"
"computer science" -- "software"
"history of education" -- "teacher education"
"hiv" -- "sexual health"
"hiv" -- "health disparities"
"hiv" -- "stigma"
"hiv" -- "drug abuse"
"hiv" -- "aids"
"hiv" -- "epidemiology"
"hiv" -- "implementation science"
"hiv" -- "substance use"
"strongly correlated electron systems" -- "superconductivity"
"health promotion" -- "public health"
"high pressure" -- "materials science"
"transmission electron microscopy" -- "materials science"
"power quality" -- "power electronics"
"stochastic processes" -- "probability theory"
"stochastic processes" -- "probability"
"ergodic theory" -- "dynamical systems"
"forensic science" -- "statistics"
"organizational theory" -- "economic sociology"
"animal nutrition" -- "animal science"
"operator theory" -- "complex analysis"
"operator theory" -- "functional analysis"
"psycholinguistics" -- "cognitive science"
"psycholinguistics" -- "language acquisition"
"psycholinguistics" -- "second language acquisition"
"psycholinguistics" -- "linguistics"
"psycholinguistics" -- "bilingualism"
"psycholinguistics" -- "neurolinguistics"
"cryosphere" -- "remote sensing"
"russia" -- "migration"
"plant-animal interactions" -- "ecology"
"spatial planning" -- "urban planning"
"ultrasound imaging" -- "photoacoustic imaging"
"surgical robotics" -- "haptics"
"coral reef ecology" -- "conservation biology"
"applied linguistics" -- "second language acquisition"
"applied linguistics" -- "intercultural communication"
"applied linguistics" -- "tesol"
"evolutionary ecology" -- "conservation biology"
"nonlinear waves" -- "applied mathematics"
"aerospace" -- "control"
"organic electronics" -- "solar cells"
"organic electronics" -- "organic photovoltaics"
"organic electronics" -- "oled"
"organic electronics" -- "organic solar cells"
"cell signaling" -- "cancer"
"bioenergetics" -- "mitochondria"
"international macroeconomics" -- "macroeconomics"
"functional materials" -- "devices"
"environmental" -- "resource economics"
"shakespeare" -- "digital humanities"
"archives" -- "library"
"lithium ion batteries" -- "energy storage"
"soil mechanics" -- "geotechnical engineering"
"indoor air quality" -- "exposure assessment"
"numerical modeling" -- "rock mechanics"
"identification" -- "control"
"cancer metabolism" -- "systems biology"
"cancer prevention" -- "nutrition"
"psychosis" -- "schizophrenia"
"dna damage" -- "repair"
"dna damage" -- "dna repair"
"political psychology" -- "public opinion"
"political psychology" -- "experiments"
"political psychology" -- "social psychology"
"performance measurement" -- "management accounting"
"performance measurement" -- "performance management"
"genome editing" -- "crispr"
"genome editing" -- "stem cells"
"computational economics" -- "macroeconomics"
"corporate governance" -- "management accounting"
"corporate governance" -- "corporate law"
"corporate governance" -- "mergers"
"corporate governance" -- "corporate finance"
"corporate governance" -- "corporate social responsibility"
"corporate governance" -- "financial reporting"
"corporate governance" -- "auditing"
"corporate governance" -- "executive compensation"
"environmental sociology" -- "social movements"
"cardiovascular medicine" -- "vascular biology"
"rf" -- "microwave"
"nanomagnetism" -- "spintronics"
"emergence" -- "complex systems"
"gas" -- "energy"
"gas" -- "oil"
"intellectual property" -- "innovation"
"intellectual property" -- "copyright"
"intellectual property" -- "patents"
"developmental biology" -- "stem cell biology"
"developmental biology" -- "zebrafish"
"developmental biology" -- "reproductive biology"
"developmental biology" -- "embryology"
"developmental biology" -- "genetics"
"developmental biology" -- "evo-devo"
"developmental biology" -- "developmental neurobiology"
"protein folding" -- "biophysics"
"automata theory" -- "logic"
"political economy" -- "political ecology"
"political economy" -- "economic development"
"political economy" -- "corruption"
"political economy" -- "institutions"
"political economy" -- "neoliberalism"
"political economy" -- "development economics"
"political economy" -- "comparative politics"
"relationships" -- "health"
"molecular simulation" -- "statistical mechanics"
"molecular simulation" -- "nucleation"
"judicial politics" -- "american politics"
"antennas" -- "computational electromagnetics"
"antennas" -- "microwave"
"antennas" -- "microwave circuits"
"antennas" -- "metamaterials"
"antennas" -- "propagation"
"antennas" -- "rfid"
"antennas" -- "microwave engineering"
"antennas" -- "electromagnetics"
"antennas" -- "electromagnetic compatibility"
"drug delivery" -- "cancer therapy"
"drug delivery" -- "pharmaceutics"
"drug delivery" -- "pharmaceutical sciences"
"drug delivery" -- "nanoparticles"
"drug delivery" -- "biomaterials"
"biopolymers" -- "polymers"
"sociolinguistics" -- "discourse analysis"
"sociolinguistics" -- "linguistics"
"cultural history" -- "history"
"exosomes" -- "proteomics"
"rheology" -- "polymers"
"rheology" -- "polymer blends"
"rheology" -- "complex fluids"
"flow assurance" -- "gas hydrates"
"flow assurance" -- "multiphase flow"
"anxiety" -- "clinical psychology"
"consumer psychology" -- "marketing"
"biostatistics" -- "bioinformatics"
"biostatistics" -- "survival analysis"
"biostatistics" -- "clinical trials"
"biostatistics" -- "causal inference"
"biostatistics" -- "clinical research"
"biostatistics" -- "clinical epidemiology"
"biostatistics" -- "missing data"
"biostatistics" -- "meta-analysis"
"biostatistics" -- "epidemiology"
"complex networks" -- "complex systems"
"design" -- "product design"
"design" -- "innovation"
"design" -- "architecture"
"design" -- "manufacturing"
"neuroimaging" -- "schizophrenia"
"neuroimaging" -- "diffusion mri"
"neuroimaging" -- "neuromodulation"
"neuroimaging" -- "neuroscience"
"terrorism" -- "international relations"
"terrorism" -- "political violence"
"vegetation" -- "remote sensing"
"neural circuits" -- "neuroscience"
"representation theory" -- "algebraic geometry"
"representation theory" -- "algebraic combinatorics"
"superconductivity" -- "condensed matter physics"
"network-on-chip" -- "computer architecture"
"pulmonary" -- "critical care medicine"
"pulmonary" -- "critical care"
"bayesian statistics" -- "machine learning"
"bayesian statistics" -- "monte carlo methods"
"game studies" -- "game design"
"t cells" -- "immunology"
"sleep" -- "circadian rhythms"
"sleep" -- "neuroscience"
"governance" -- "nonprofits"
"governance" -- "participation"
"governance" -- "public administration"
"governance" -- "regulation"
"social policy" -- "poverty"
"social policy" -- "welfare state"
"distance education" -- "online learning"
"popular culture" -- "gender"
"astrophysics" -- "cosmology"
"astrophysics" -- "gravitational waves"
"astrophysics" -- "radio astronomy"
"astrophysics" -- "plasma physics"
"astrophysics" -- "physics"
"astrophysics" -- "star formation"
"astrophysics" -- "astronomy"
"astrophysics" -- "black holes"
"virtual environments" -- "virtual reality"
"phase change materials" -- "thermal energy storage"
"probability" -- "statistics"
"geophysics" -- "planetary science"
"geophysics" -- "seismology"
"geophysics" -- "earthquakes"
"geophysics" -- "geodesy"
"geophysics" -- "rock physics"
"geophysics" -- "mineral physics"
"geophysics" -- "geodynamics"
"geophysics" -- "geology"
"x-ray crystallography" -- "structural biology"
"climate modeling" -- "climate change"
"gis" -- "geography"
"gis" -- "mapping"
"gis" -- "spatial statistics"
"gis" -- "urban geography"
"gis" -- "geoinformatics"
"gis" -- "spatial analysis"
"gis" -- "spatial databases"
"gis" -- "community engagement"
"gis" -- "health geography"
"gis" -- "cartography"
"gis" -- "remote sensing"
"health systems" -- "health policy"
"technology management" -- "innovation"
"eye movements" -- "attention"
"eye movements" -- "visual attention"
"quantitative biology" -- "systems biology"
"historia" -- "educación"
"historia" -- "historia del arte"
"pattern formation" -- "nonlinear dynamics"
"information science" -- "library"
"information science" -- "librarianship"
"information science" -- "bibliometrics"
"information science" -- "library science"
"computational biology" -- "bioinformatics"
"computational biology" -- "structural bioinformatics"
"computational biology" -- "transcriptional regulation"
"stem" -- "tem"
"stem" -- "gender"
"international migration" -- "ethnicity"
"social demography" -- "family"
"origin of life" -- "astrobiology"
"groundwater" -- "hydrogeology"
"basin analysis" -- "sedimentology"
"digital communications" -- "signal processing"
"viruses" -- "cancer"
"cognitive control" -- "attention"
"employment relations" -- "human resource management"
"employment relations" -- "hrm"
"demography" -- "sociology"
"demography" -- "fertility"
"computer networks" -- "routing"
"computer networks" -- "distributed systems"
"computer networks" -- "software defined networking"
"computer networks" -- "network management"
"computer networks" -- "wireless networks"
"computer networks" -- "performance evaluation"
"computer networks" -- "network security"
"civil war" -- "international relations"
"conservation biology" -- "freshwater ecology"
"conservation biology" -- "marine ecology"
"conservation biology" -- "plant ecology"
"conservation biology" -- "herpetology"
"conservation biology" -- "marine mammals"
"conservation biology" -- "community ecology"
"conservation biology" -- "biological invasions"
"conservation biology" -- "citizen science"
"conservation biology" -- "ecological modelling"
"conservation biology" -- "wildlife ecology"
"conservation biology" -- "population ecology"
"conservation biology" -- "landscape ecology"
"conservation biology" -- "behavioral ecology"
"conservation biology" -- "disease ecology"
"conservation biology" -- "restoration ecology"
"conservation biology" -- "spatial ecology"
"conservation biology" -- "primatology"
"conservation biology" -- "stream ecology"
"conservation biology" -- "ecology"
"conservation biology" -- "quantitative ecology"
"conservation biology" -- "wildlife management"
"conservation biology" -- "mammalogy"
"conservation biology" -- "tropical ecology"
"conservation biology" -- "movement ecology"
"cscw" -- "hci"
"cscw" -- "cscl"
"mechanobiology" -- "biomechanics"
"metabolism" -- "mitochondria"
"metabolism" -- "skeletal muscle"
"metabolism" -- "diabetes"
"memory systems" -- "computer architecture"
"learning analytics" -- "learning technologies"
"learning analytics" -- "educational technology"
"learning analytics" -- "educational data mining"
"learning analytics" -- "moocs"
"learning analytics" -- "technology enhanced learning"
"mechanical properties" -- "microstructure"
"atmospheric chemistry" -- "aerosols"
"atmospheric chemistry" -- "air pollution"
"atmospheric chemistry" -- "air quality"
"intersectionality" -- "gender"
"composites" -- "textiles"
"composites" -- "rhetoric"
"composites" -- "polymers"
"synthetic organic chemistry" -- "medicinal chemistry"
"public economics" -- "labor economics"
"biomedicine" -- "machine learning"
"geometric modeling" -- "computer graphics"
"lte" -- "wireless communications"
"x-ray diffraction" -- "crystallography"
"density functional theory" -- "computational materials science"
"density functional theory" -- "quantum chemistry"
"genetic epidemiology" -- "cancer epidemiology"
"water treatment" -- "environmental engineering"
"water treatment" -- "membrane separation"
"water treatment" -- "desalination"
"electrocatalysis" -- "electrochemistry"
"second interest" -- "first interest"
"cryptography" -- "information security"
"cryptography" -- "computer security"
"cryptography" -- "security"
"molecular microbiology" -- "bioinformatics"
"photoelectrochemistry" -- "electrochemistry"
"calculus of variations" -- "partial differential equations"
"lipid metabolism" -- "diabetes"
"raman" -- "sers"
"eeg" -- "meg"
"eeg" -- "bci"
"eeg" -- "erp"
"palaeoclimatology" -- "palaeoecology"
"human-robot interaction" -- "social robotics"
"inorganic chemistry" -- "materials chemistry"
"inorganic chemistry" -- "bioinorganic chemistry"
"inorganic chemistry" -- "catalysis"
"inorganic chemistry" -- "coordination chemistry"
"philosophy of biology" -- "philosophy of science"
"solar energy" -- "photovoltaics"
"sentiment analysis" -- "natural language processing"
"phycology" -- "ecology"
"design thinking" -- "innovation"
"construction management" -- "bim"
"construction management" -- "building information modeling"
"construction management" -- "project management"
"neuropsychiatry" -- "psychiatry"
"genetics" -- "molecular biology"
"genetics" -- "plant development"
"genetics" -- "genomics"
"genetics" -- "plant biology"
"genetics" -- "drosophila"
"genetics" -- "yeast"
"genetics" -- "epigenetics"
"genetics" -- "plant breeding"
"genetics" -- "breeding"
"genetics" -- "plant molecular biology"
"genetics" -- "c. elegans"
"supramolecular chemistry" -- "organic chemistry"
"supramolecular chemistry" -- "crystal engineering"
"biomedical imaging" -- "image processing"
"laser physics" -- "nonlinear optics"
"phenomenology" -- "philosophy"
"higher education" -- "education policy"
"higher education" -- "learning"
"game design" -- "artificial intelligence"
"atomic layer deposition" -- "thin films"
"international education" -- "comparative"
"international education" -- "education"
"usability" -- "user experience"
"stratification" -- "inequality"
"soft matter physics" -- "biophysics"
"product development" -- "engineering design"
"impulsivity" -- "addiction"
"nmr" -- "structural biology"
"rapid prototyping" -- "additive manufacturing"
"autophagy" -- "cancer"
"autophagy" -- "cell death"
"administrative law" -- "constitutional law"
"gender studies" -- "disability studies"
"gender studies" -- "cultural studies"
"dielectrics" -- "ferroelectrics"
"prosody" -- "phonetics"
"regeneration" -- "stem cells"
"nutrient cycling" -- "biogeochemistry"
"zoology" -- "ecology"
"numerical analysis" -- "finite element method"
"numerical analysis" -- "numerical linear algebra"
"numerical analysis" -- "applied mathematics"
"numerical analysis" -- "computational mathematics"
"numerical analysis" -- "approximation theory"
"numerical analysis" -- "partial differential equations"
"numerical analysis" -- "computational fluid dynamics"
"image segmentation" -- "machine learning"
"climate policy" -- "energy"
"drug design" -- "medicinal chemistry"
"intelligent tutoring systems" -- "artificial intelligence"
"música" -- "art"
"animal behavior" -- "animal communication"
"animal behavior" -- "evolution"
"applications" -- "control theory"
"climate change" -- "drought"
"climate change" -- "carbon cycle"
"climate change" -- "air pollution"
"climate change" -- "arctic"
"climate change" -- "sustainable agriculture"
"climate change" -- "sustainable development"
"climate change" -- "hydrology"
"climate change" -- "ocean acidification"
"climate change" -- "agriculture"
"climate change" -- "land use change"
"climate change" -- "adaptation"
"climate change" -- "coral reefs"
"climate change" -- "ecology"
"climate change" -- "climate variability"
"climate change" -- "carbon sequestration"
"climate change" -- "food security"
"climate change" -- "forest ecology"
"climate change" -- "plant ecophysiology"
"climate change" -- "climate dynamics"
"speech processing" -- "machine learning"
"speech processing" -- "speech synthesis"
"marine biogeochemistry" -- "oceanography"
"econometrics" -- "statistics"
"econometrics" -- "applied economics"
"econometrics" -- "time series"
"protein structure" -- "bioinformatics"
"protein structure" -- "function"
"micropaleontology" -- "paleoceanography"
"computer architecture" -- "high performance computing"
"computer architecture" -- "hardware security"
"computer architecture" -- "electronic design automation"
