"perceptual decision making" -- "attention"
"graphene" -- "anderson localization"
"graphene" -- "ti"
"graphene" -- "vdw heterostructures"
"graphene" -- "h-bn"
"graphene" -- "field emission"
"graphene" -- "silicene"
"graphene" -- "electrical energy storage"
"graphene" -- "cnts"
"graphene" -- "sic"
"graphene" -- "fundamental"
"graphene" -- "tmd"
"graphene" -- "hrtem"
"graphene" -- "raman spectroscopy"
"graphene" -- "finfet"
"graphene" -- "cnt"
"graphene" -- "field effect transistors"
"graphene" -- "electrical characterization"
"graphene" -- "graphene nanoribbons"
"graphene" -- "chemical vapor deposition"
"graphene" -- "carbon nanotubes"
"graphene" -- "2d layered materials"
"graphene" -- "nanotechnology"
"graphene" -- "graphene oxide"
"graphene" -- "electron transport"
"graphene" -- "helium ion microscopy"
"graphene" -- "low-dimensional systems"
"graphene" -- "mos2"
"graphene" -- "low dimensional physics"
"graphene" -- "nanoelectronics"
"graphene" -- "heterostructures"
"graphene" -- "leed"
"graphene" -- "doping"
"graphene" -- "electronic properties"
"graphene" -- "two-dimensional materials"
"graphene" -- "graphite"
"graphene" -- "quantum hall effect"
"graphene" -- "quantum hall"
"computational plasticity" -- "geotechnical engineering"
"eğitim" -- "öğretmen yetiştirme"
"eğitim" -- "biofeedback"
"geomaterials" -- "geomechanics"
"axon guidance" -- "neurobiology"
"multi-objective" -- "robust design optimization"
"tactile sensing" -- "silk fibroin"
"tactile sensing" -- "robotics"
"cardiochirurgia" -- "cardiologia"
"cardiochirurgia" -- "cellule staminali"
"cardiochirurgia" -- "medicina rigenerativa"
"unsaturated zone" -- "modeling"
"school design" -- "environmental design"
"disaster mental health" -- "medical anthropology"
"movement ecology" -- "conservation biology"
"movement ecology" -- "habitat selection"
"online interaction" -- "social capital"
"inflammation" -- "immunology"
"inflammation" -- "eicosanoids"
"inflammation" -- "leukocytes"
"inflammation" -- "lung infection"
"inflammation" -- "second interest"
"inflammation" -- "oxidative stress"
"inflammation" -- "sepsis"
"inflammation" -- "gout"
"inflammation" -- "resolution of inflammation"
"inflammation" -- "fibrosis"
"inflammation" -- "macrophages"
"inflammation" -- "nrf2"
"inflammation" -- "drug mechanism of action"
"inflammation" -- "innate immunity"
"inflammation" -- "glucocorticoids"
"inflammation" -- "host defence peptides"
"inflammation" -- "mif"
"body studies" -- "heritage"
"pro-environmental behaviour" -- "energy policy"
"asymmetric cell division" -- "integrative modeling"
"logistics" -- "intermodal transport"
"logistics" -- "online optimization"
"logistics" -- "applied operations research"
"logistics" -- "partnerships"
"logistics" -- "transportation systems"
"logistics" -- "grounded theory"
"logistics" -- "supply chain management"
"logistics" -- "port economics"
"logistics" -- "transportation"
"logistics" -- "lean production"
"logistics" -- "warehousing"
"logistics" -- "supply chain"
"logistics" -- "material handling"
"logistics" -- "scm"
"logistics" -- "facility location"
"logistics" -- "layout"
"logistics" -- "freight"
"logistics" -- "freight transportation"
"logistics" -- "supply chain optimisation"
"biogeomorphology" -- "remote sensing"
"classroom interaction" -- "conversation analysis"
"univalent functions" -- "geometric function theory"
"occupational stress" -- "occupational health psychology"
"professional communication" -- "discourse analysis"
"professional communication" -- "technical"
"professional communication" -- "learning communities"
"kernel smoothing" -- "mixture models"
"applied game theory" -- "industrial organization"
"lte-advanced" -- "mobility management"
"tlr4" -- "intestine"
"revenue management" -- "assortment planning"
"revenue management" -- "behavioral operations management"
"revenue management" -- "dynamic pricing"
"revenue management" -- "approximate dynamic programming"
"revenue management" -- "pricing"
"payments for ecosystem services" -- "bushmeat"
"payments for ecosystem services" -- "ecological economics"
"specific language impairment" -- "autism"
"bubbles" -- "crises"
"bubbles" -- "fluid mechanics"
"bubbles" -- "drops"
"virologia" -- "microbiologia"
"pattern mining" -- "data mining"
"geosimulation" -- "gis"
"multidrug resistance" -- "cancer"
"multidrug resistance" -- "abc transporters"
"seti" -- "interstellar medium"
"gravitational lensing" -- "cosmology"
"healthcare information systems" -- "complex systems"
"patient education" -- "medical decision making"
"interreligious dialogue" -- "sociology of education"
"laser diagnostics" -- "combustion"
"laser diagnostics" -- "multiple scattering"
"information visualisation" -- "human-computer interaction"
"avian biology" -- "ecology"
"organisational change" -- "information systems"
"property development" -- "urban design"
"higher education" -- "threshold concepts"
"higher education" -- "faculty work"
"higher education" -- "faculty"
"higher education" -- "education policy"
"higher education" -- "campus climate"
"higher education" -- "college student development"
"higher education" -- "academic profession"
"higher education" -- "graduate employability"
"higher education" -- "organizational studies"
"higher education" -- "doctoral education"
"higher education" -- "graduate education"
"higher education" -- "quality assurance"
"higher education" -- "international students"
"higher education" -- "academic literacy"
"higher education" -- "student experience"
"higher education" -- "college"
"higher education" -- "internationalization of higher education"
"higher education" -- "educational development"
"higher education" -- "student development"
"higher education" -- "administrative history"
"higher education" -- "intercollegiate athletics"
"higher education" -- "institutional research"
"higher education" -- "universities"
"higher education" -- "retention"
"higher education" -- "college access"
"higher education" -- "international higher education"
"higher education" -- "center for research on undergraduate"
"higher education" -- "student"
"higher education" -- "college students"
"higher education" -- "academic development"
"higher education" -- "community colleges"
"higher education" -- "sotl"
"higher education" -- "learning"
"higher education" -- "student affairs"
"higher education" -- "academic integrity"
"higher education" -- "student success"
"industrial communication" -- "wireless sensor networks"
"emotional memory" -- "stress resilience"
"interactive information retrieval" -- "search user interfaces"
"interactive information retrieval" -- "information science"
"inter-organizational networks" -- "competition"
"computer crime" -- "corruption"
"biosolids" -- "greenhouse gas"
"ingaas" -- "gan"
"smart lighting" -- "lighting design"
"collaborative engineering" -- "reliability engineering"
"coaching" -- "coach education"
"coaching" -- "leadership"
"landscape history" -- "environmental archaeology"
"presence" -- "virtual reality"
"presence" -- "medienpsychologie"
"cosmochemistry" -- "presolar grains"
"cosmochemistry" -- "meteoritics"
"cosmochemistry" -- "geochemistry"
"derecho internacional" -- "derechos humanos"
"iletişim" -- "liderlik"
"iletişim" -- "mobbing"
"iletişim" -- "televizyon"
"iletişim" -- "siyasal iletişim"
"iletişim" -- "medya"
"iletişim" -- "halkla ilişkiler"
"iletişim" -- "spor yönetimi"
"iletişim" -- "sosyal medya"
"mycorrhizal fungi" -- "biogeochemistry"
"flow injection analysis" -- "analytical chemistry"
"serious mental illness" -- "co-occurring disorders"
"microbial ecophysiology" -- "geobiochemistry"
"microbial ecophysiology" -- "biogeochemistry"
"evolutionary" -- "conservation biology"
"macular degeneration" -- "diabetic retinopathy"
"immunoinformatics" -- "bioinformatics"
"whiplash" -- "neck pain"
"european law" -- "european court of justice"
"european law" -- "international law"
"european law" -- "public procurement"
"unmanned aircraft" -- "robotics"
"simulazione" -- "meccatronica"
"usable security" -- "privacy"
"usable security" -- "datenschutz"
"usable security" -- "user authentication"
"sociología de la educación" -- "educación"
"entanglement" -- "quantum optics"
"entanglement" -- "quantum correlations"
"diritti fondamentali" -- "fonti del diritto"
"diritti fondamentali" -- "diritto"
"violent extremism" -- "radicalisation"
"landscape" -- "greek archaeology"
"landscape" -- "greek religion"
"landscape" -- "archaeology"
"landscape" -- "gardening"
"landscape" -- "secondary forests"
"reits" -- "real estate finance"
"combustion kinetics" -- "internal combustion engines"
"pilas de combustible" -- "coloides"
"pilas de combustible" -- "materiales"
"inorganic photochemistry" -- "photophysics"
"knowledge discovery" -- "data mining"
"technology diffusion" -- "comparative effectiveness research"
"chinese philosophy" -- "ethics"
"david hume" -- "history of early modern philosophy"
"soft matter science" -- "polymer science"
"resource optimization" -- "risk assessment"
"mammals" -- "conservation biology"
"mammals" -- "cetaceans"
"mammals" -- "edna"
"nand flash memory" -- "dram"
"manganites" -- "multiferroics"
"horror fiction" -- "film"
"digital curation" -- "digital preservation"
"trace element biogeochemistry" -- "materials science"
"copy number variation" -- "genetics"
"copy number variation" -- "developmental delay"
"stomata" -- "water use efficiency"
"stomata" -- "reproduction"
"cardiovascular bioengineering" -- "mechanobiology"
"discrete element method" -- "granular materials"
"discrete element method" -- "rock mechanics"
"heritage tourism" -- "cultural tourism"
"heritage tourism" -- "sustainable tourism"
"control systems" -- "battery systems"
"control systems" -- "robotics"
"sparse representation" -- "image processing"
"complementary medicine" -- "integrative medicine"
"quantum walks" -- "quantum information"
"electronic commerce" -- "information systems"
"calcium imaging" -- "respiratory control"
"calcium imaging" -- "microcirculation"
"welsh" -- "dialect"
"health economics" -- "health care costs"
"health economics" -- "health information"
"health economics" -- "education economics"
"health economics" -- "outcomes research"
"health economics" -- "health outcomes research"
"health economics" -- "health outcomes"
"health economics" -- "pharmaceutical economics"
"health economics" -- "health technology assessment"
"health economics" -- "health care delivery"
"health economics" -- "health insurance"
"health economics" -- "cost-effectiveness"
"health economics" -- "economic evaluation"
"health economics" -- "discrete choice experiments"
"health economics" -- "health care financing"
"health economics" -- "health care workforce"
"health economics" -- "economics of aging"
"health economics" -- "cost-effectiveness analysis"
"health economics" -- "population economics"
"health economics" -- "patient preferences"
"health economics" -- "low-income countries"
"health economics" -- "labor economics"
"health economics" -- "pharmacoeconomics"
"health economics" -- "hta"
"health economics" -- "informal care"
"health economics" -- "decision modelling"
"health economics" -- "public policy evaluation"
"health economics" -- "health policy"
"geometric design" -- "traffic safety"
"mixed methods" -- "informal learning environments"
"mixed methods" -- "qualitative"
"mixed methods" -- "experience sampling"
"aquatic macroinvertebrates" -- "freshwater ecology"
"sustainable livelihoods" -- "ecosystem services"
"structure from motion" -- "computer vision"
"bacteriocins" -- "molecular genetics"
"pelletization" -- "torrefaction"
"thermal plasma" -- "waste treatment"
"autism" -- "imitation"
"autism" -- "applied behavior analysis"
"autism" -- "adhd"
"autism" -- "applied behaviour analysis"
"autism" -- "cns development"
"autism" -- "social skills"
"autism" -- "asd"
"autism" -- "parent training"
"autism" -- "fragile x syndrome"
"autism" -- "video modeling"
"autism" -- "early intervention"
"autism" -- "challenging behavior"
"autism" -- "behavior analysis"
"autism" -- "sensory processing"
"autism" -- "twin studies"
"autism" -- "developmental disabilities"
"autism" -- "special education"
"autism" -- "intellectual disability"
"autism" -- "face processing"
"autism" -- "adapted physical activity"
"autism" -- "neuroscience"
"autism" -- "social communication"
"ion traps" -- "quantum computing"
"markov decision processes" -- "machine learning"
"spine biomechanics" -- "orthopaedic biomechanics"
"spine biomechanics" -- "ergonomics"
"physical activity promotion" -- "exercise psychology"
"geothermal systems" -- "geology"
"tectónica" -- "geofísica"
"tectónica" -- "paleomagnetismo"
"tectónica" -- "geoquímica"
"tectónica" -- "geología estructural"
"tensor networks" -- "quantum computing"
"marine genomics" -- "coral reefs"
"neighbourhoods" -- "housing"
"territorial governance" -- "spatial planning"
"silicon nitride" -- "quantum optics"
"silicon nitride" -- "refractory materials"
"crm" -- "marketing"
"tangible computing" -- "human-computer interaction"
"didáctica del patrimonio" -- "educación artística"
"design science" -- "information systems"
"critical gis" -- "health geography"
"critical gis" -- "spatial big data"
"critical gis" -- "critical data studies"
"intelligenza artificiale" -- "medical imaging"
"intelligenza artificiale" -- "ricerca operativa"
"intelligenza artificiale" -- "basi di dati"
"intelligenza artificiale" -- "ingegneria elettrica"
"electrical machines" -- "synchronous machines"
"electrical machines" -- "homogenisation"
"electrical machines" -- "power electronics"
"electrical machines" -- "wavelet theory"
"electrical machines" -- "applied superconductivity"
"jungian psychology" -- "reflective practice"
"deductive databases" -- "semantics"
"phenotypic plasticity" -- "evolution"
"solar energy utilization" -- "radiative heat transfer"
"sns" -- "privacy"
"cad tools" -- "reconfigurable computing"
"urban politics" -- "participatory democracy"
"urban politics" -- "urban public policy"
"urban politics" -- "public policy"
"urban politics" -- "urban violence"
"urban politics" -- "global cities"
"gene transcription" -- "gene regulation"
"low power electronics" -- "embedded systems"
"medicine" -- "eighteenth century"
"medicine" -- "genetik"
"medicine" -- "18th century"
"medicine" -- "coronary heart disease"
"medicine" -- "biology"
"medicine" -- "cancer cell signaling"
"medicine" -- "aromatic plants"
"medicine" -- "clinical studies"
"medicine" -- "surgery"
"medicine" -- "regulatory rnas"
"medicine" -- "medical research"
"medicine" -- "healthcare policy"
"medicine" -- "prenatal development"
"medicine" -- "agricultural health"
"medicine" -- "vitalism"
"medicine" -- "history of early modern philosophy"
"medicine" -- "viral diseases"
"medicine" -- "radiologia"
"medicine" -- "psychosocial rehabilitation"
"medicine" -- "randomised trials"
"medicine" -- "social psychiatry"
"medicine" -- "medicina"
"medicine" -- "modern european history"
"specific ion effects" -- "atmospheric chemistry"
"waveform design" -- "radar signal processing"
"authoritarian regimes" -- "political economy of development"
"space weather" -- "coronal mass ejections"
"space weather" -- "space climate"
"space weather" -- "ionospheric physics"
"space weather" -- "heliophysics"
"space weather" -- "radiation belts"
"space weather" -- "space plasma physics"
"space weather" -- "space physics"
"space weather" -- "csem"
"space weather" -- "ionospheric scintillation"
"space weather" -- "substorms"
"spectral" -- "machine vision"
"sistema financiero" -- "gobierno corporativo"
"folklore" -- "anthropology"
"cognitive bias modification" -- "anxiety disorders"
"metallurgical engineering" -- "mining engineering"
"human trafficking" -- "organised crime"
"human trafficking" -- "migration"
"human trafficking" -- "forced labour"
"insulin action" -- "metabolism"
"positive organizational scholarship" -- "positive psychology"
"social attitudes" -- "political behaviour"
"genetica di popolazione" -- "biodiversità"
"architectural education" -- "architectural design"
"human movement analysis" -- "biomechanics"
"meshing" -- "computational geometry"
"meshing" -- "computational math"
"cae" -- "cad"
"interference mitigation" -- "ieee 802.11"
"ibd" -- "mucosal immunology"
"ibd" -- "gastrointestinal cancer"
"ibd" -- "ibs"
"ibd" -- "intestinal inflammation"
"building automation" -- "smart grid"
"outdoor learning" -- "physical education"
"crecimiento económico" -- "economía regional"
"crecimiento económico" -- "desarrollo económico"
"adipose tissue" -- "obesity"
"monetary economics" -- "international macro"
"monetary economics" -- "applied macroeconomics"
"monetary economics" -- "macroeconomics"
"monetary economics" -- "payment systems"
"monetary economics" -- "macroeconomic theory"
"humanitarian intervention" -- "human rights"
"energy consumption" -- "rebound effect"
"energy consumption" -- "energy policy"
"stochastic dominance" -- "portfolio management"
"romance philology" -- "medieval literature"
"ecc" -- "electronic voting"
"microbe-host interactions" -- "microbial ecology"
"beni culturali" -- "ecologia"
"juvenile" -- "child welfare"
"celebrity" -- "cultural studies"
"vitamin e" -- "nutrition"
"mg alloys" -- "ti alloys"
"transparent ceramics" -- "materials science"
"in vivo imaging" -- "ensemble learning"
"time use" -- "gender"
"time use" -- "cultural values"
"biomembranes" -- "biophysics"
"piezoelectric" -- "energy harvesting"
"piezoelectric" -- "pyroelectricity"
"piezoelectric" -- "electroceramics"
"piezoelectric" -- "ferroelectrics"
"piezoelectric" -- "triboelectric"
"triple helix" -- "innovation"
"dental fear" -- "memory"
"taxonomy" -- "biosystematics"
"taxonomy" -- "systematics"
"taxonomy" -- "coleoptera"
"taxonomy" -- "systematic botany"
"taxonomy" -- "molecular phylogeny"
"taxonomy" -- "meiofauna"
"taxonomy" -- "malacology"
"mediterranean diet" -- "nutrition"
"laser materials" -- "laser material processing"
"academic success" -- "motivation"
"parliaments" -- "political parties"
"parliaments" -- "political ethics"
"adjuvant" -- "vaccines"
"mendelian randomization" -- "adaptive clinical trials"
"mendelian randomization" -- "cardiovascular disease"
"mendelian randomization" -- "instrumental variables"
"super-resolution microscopy" -- "biophysics"
"geologia" -- "paleontologia"
"geologia" -- "sedymentologia"
"geologia" -- "hidrogeologia"
"geologia" -- "geotectônica"
"geologia" -- "geoturystyka"
"geologia" -- "geochimica"
"geologia" -- "geomorfologia"
"geologia" -- "scienze della terra"
"geologia" -- "górnictwo"
"geologia" -- "geociências"
"geologia" -- "cosmologia"
"geologia" -- "gis"
"geologia" -- "geoquímica"
"geologia" -- "geologia applicata"
"entrainment" -- "lighting"
"entrainment" -- "visuospatial attention"
"fault-tolerant computing" -- "multi-core architecture"
"fault-tolerant computing" -- "computer arithmetic"
"retinal physiology" -- "circadian biology"
"simulation modeling" -- "operations research"
"bio-inspired design" -- "robotics"
"ercp" -- "eus"
"ercp" -- "endoscopy"
"body size" -- "food webs"
"computational condensed matter physics" -- "density functional theory"
"family well-being" -- "child"
"boron nitride nanotubes" -- "plasma spray"
"boron nitride nanotubes" -- "nanocomposites"
"bridges" -- "concrete"
"vulcanology" -- "remote sensing"
"global hydrology" -- "gis"
"ecologia de peixes" -- "limnologia"
"ecologia de peixes" -- "pesca"
"network computing" -- "big data analysis"
"water quality engineering" -- "environmental chemistry"
"code analysis" -- "software reliability"
"functional gastrointestinal disorders" -- "gastroenterology"
"comic books" -- "diplomacy"
"protein x-ray crystallography" -- "structural biology"
"transplantation" -- "immunology"
"transplantation" -- "renal"
"transplantation" -- "organ donation"
"transplantation" -- "liver surgery"
"transplantation" -- "hepatobiliary surgery"
"transplantation" -- "nephrology"
"transplantation" -- "endothelial cell biology"
"transplantation" -- "cmv"
"chimica inorganica" -- "scienza dei materiali"
"squid" -- "observational cosmology"
"chronic disease management" -- "obesity"
"time" -- "memory"
"time" -- "temporality"
"cda" -- "corpus linguistics"
"project planning" -- "project management"
"nonlinear photonics" -- "quantum photonics"
"environmental toxicology" -- "environmental chemistry"
"many-core systems" -- "embedded systems"
"image deblurring" -- "inverse problems"
"ami" -- "smart grid"
"contabilidad" -- "responsabilidad social"
"contabilidad" -- "meio ambiente"
"contabilidad" -- "administração"
"contabilidad" -- "auditoria"
"contabilidad" -- "controladoria"
"ece" -- "microwave imaging"
"multilevel theory" -- "methods"
"language theory" -- "literary theory"
"gpgpus" -- "computer architecture"
"terminologie" -- "artificial inteligence"
"terminologie" -- "traitement automatique des langues"
"dissemination" -- "implementation"
"dissemination" -- "child anxiety"
"dissemination" -- "implementation science"
"dissemination" -- "therapy process"
"multiscale modeling" -- "cell mechanobiology"
"multiscale modeling" -- "data mining machine learning"
"multiscale modeling" -- "nonequilibrium phenomena"
"multiscale modeling" -- "implicit solvent models"
"multiscale modeling" -- "computational fracture mechanics"
"multiscale modeling" -- "vascular biomechanics"
"multiscale modeling" -- "elasto-plasticity"
"multiscale modeling" -- "density functional theory (dft)"
"multiscale modeling" -- "thermoelasticity"
"multiscale modeling" -- "musculoskeletal research"
"multiscale modeling" -- "computational mechanics"
"multiscale modeling" -- "crystal plasticity"
"multiscale modeling" -- "mechanics of soft materials"
"multiscale modeling" -- "mechanical analysis"
"multiscale modeling" -- "unconventional oil"
"plant signalling" -- "plant biology"
"magnetic resonance elastography" -- "inverse problems"
"applied zooarchaeology" -- "conservation biology"
"flavor chemistry" -- "beer"
"egyptology" -- "archaeology"
"dye solar cells" -- "perovskite solar cells"
"isothermal microcalorimetry" -- "li-ion batteries"
"healthcare systems engineering" -- "quality engineering"
"experimental techniques" -- "coastal engineering"
"experimental film" -- "critical theory"
"basic science" -- "blood pressure regulation"
"peers" -- "delinquency"
"viral ecology" -- "metagenomics"
"constructal theory" -- "thermal management"
"coral reef ecology" -- "conservation biology"
"coral reef ecology" -- "coral biology"
"visual anthropology" -- "anthropology"
"visual anthropology" -- "urban anthropology"
"visual anthropology" -- "tonga"
"reproductive epidemiology" -- "epidemiology"
"addiction psychiatry" -- "history of medicine"
"insect vision" -- "neuroethology"
"ebelik" -- "hemşirelik"
"ebelik" -- "etik"
"aerospace" -- "control"
"aerospace" -- "aeronautics"
"statistical hydrology" -- "climate change"
"vygotsky" -- "science education"
"transnational migration" -- "community engagement"
"international macroeconomics" -- "macroeconomics"
"water resources research" -- "climate change"
"muscle function" -- "disease"
"human-machine interfaces" -- "robotics"
"bioinorganic" -- "inorganic chemistry"
"cytotoxicity" -- "mab production"
"information systems research" -- "healthcare"
"sea level" -- "climate change"
"sea level" -- "glacial isostatic adjustment"
"sea level" -- "coral reef geomorphology"
"cardiovascular sciences" -- "molecular biology"
"vaccinology" -- "immunology"
"vaccinology" -- "infection immunity"
"vaccinology" -- "virology immunology"
"vaccinology" -- "poultry diseases"
"skin aging" -- "biosensors"
"player experience" -- "digital games"
"documentación" -- "information science"
"fret" -- "protein clustering"
"fret" -- "biophysics"
"fret" -- "single molecule fluorescence"
"science gateways" -- "cyberinfrastructure"
"military ethics" -- "philosophy"
"literature" -- "literary history"
"literature" -- "travel writing"
"literature" -- "science fiction"
"literature" -- "the novel"
"literature" -- "literary theory"
"literature" -- "canadian"
"literature" -- "bible"
"literature" -- "creative writing"
"literature" -- "onomastics"
"literature" -- "russian language"
"literature" -- "narratology"
"literature" -- "german"
"literature" -- "arabic language"
"literature" -- "old english language"
"literature" -- "philosophy"
"literature" -- "renaissance drama"
"literature" -- "eighteenth-century studies"
"survey sampling" -- "nonparametric regression"
"survey sampling" -- "statistics"
"intercultural learning" -- "intercultural communication"
"deposition" -- "particle dispersion"
"deposition" -- "energy"
"russian literature" -- "culture"
"russian literature" -- "dostoevsky"
"russian literature" -- "russian culture"
"functional neurosurgery" -- "neurosurgery"
"microfinance" -- "development economics"
"agricultural engineering" -- "precision agriculture"
"geology" -- "paleontology"
"geology" -- "zircon"
"geology" -- "mineral exploration"
"geology" -- "geoconservation"
"geology" -- "geomorphology"
"geology" -- "sedimentology"
"geology" -- "tektonik"
"geology" -- "geoscience"
"geology" -- "precambrian"
"geology" -- "cyclostratigraphy"
"geology" -- "archean"
"geology" -- "earth history"
"geology" -- "earth sciences"
"geology" -- "mantle"
"geology" -- "tectonics"
"geology" -- "geometallurgy"
"geology" -- "geochemistry"
"geology" -- "venus"
"geology" -- "geophysics"
"geology" -- "petroleum"
"geology" -- "sedimentary petrology"
"hyperspectral image analysis" -- "image processing"
"work environment" -- "return to work"
"biomateriales" -- "ingeniería de tejidos"
"perinatology" -- "gynecology"
"bioinspired materials" -- "biomaterials"
"integrative taxonomy" -- "species delimitation"
"literatura medieval" -- "filología románica"
"literatura medieval" -- "historia cultural"
"literatura medieval" -- "humanismo"
"intergroup" -- "emotion processing"
"ultrassom" -- "fisioterapia"
"matematik" -- "bilgisayar"
"matematik" -- "istatistik"
"stellar astrophysics" -- "exoplanets"
"zoos" -- "parks"
"eresearch" -- "cognitive computing"
"political theory" -- "democracy"
"political theory" -- "democratic theory"
"political theory" -- "turkish politics"
"political theory" -- "history of political thought"
"political theory" -- "liberalism"
"political theory" -- "radical democracy"
"political theory" -- "political philosophy"
"humanidades digitales" -- "literatura"
"object" -- "face recognition"
"organic matter" -- "nutrient cycling"
"polytrauma" -- "trauma"
"interactive surfaces" -- "human-computer interaction"
"advanced ceramics" -- "nanomaterials"
"climate change policy" -- "energy policy"
"t cell immunology" -- "hiv"
"rheology" -- "soft solids"
"rheology" -- "viscosity"
"rheology" -- "magnetorheology"
"rheology" -- "food colloids"
"rheology" -- "clay"
"rheology" -- "colloid transport"
"rheology" -- "polymer solutions"
"rheology" -- "brownian dynamics"
"rheology" -- "polymer processing"
"rheology" -- "thermal transfer"
"rheology" -- "sludge"
"rheology" -- "polymers"
"rheology" -- "colloidal dispersions"
"rheology" -- "polymer blends"
"rheology" -- "scc"
"rheology" -- "viscoelasticity"
"rheology" -- "hydrocolloids"
"rheology" -- "interfacial rheology"
"rheology" -- "ionomer"
"rheology" -- "suspensions"
"rheology" -- "complex fluids"
"rheology" -- "non-newtonian fluid mechanics"
"rheology" -- "colloidal gels"
"industrial design engineering" -- "mass customization"
"health humanities" -- "health"
"interest rates" -- "banking"
"biomedical text mining" -- "natural language processing"
"sistemas complexos" -- "radiobiologia"
"sistemas complexos" -- "gestão do conhecimento"
"psychotherapy" -- "clinical psychology"
"psychotherapy" -- "professional ethics"
"psychotherapy" -- "counseling"
"ndt e" -- "photoacoustics"
"world heritage" -- "heritage"
"design" -- "craft"
"design" -- "artes visuais"
"design" -- "emotional design"
"design" -- "usabilidade"
"design" -- "durability of concrete"
"design" -- "prototipagem rápida"
"design" -- "point of care testing"
"design" -- "design for sustainable behaviour"
"design" -- "systems analysis"
"design" -- "ergonomia"
"design" -- "computação evolutiva"
"design" -- "illustration"
"design" -- "packaging"
"design" -- "analysis of experiments"
"design" -- "supply chain network"
"design" -- "user-centred design"
"design" -- "control of robotic systems"
"design" -- "analysis of algorithms"
"design" -- "tipografia"
"design" -- "design management"
"design" -- "visual representation"
"design" -- "web navigation"
"design" -- "architecture"
"design" -- "decision support tools"
"design" -- "manufacturing"
"design" -- "antenna theory"
"design" -- "materiali"
"design" -- "practice-led research"
"design" -- "product design"
"design" -- "innovation"
"design" -- "community planning"
"design" -- "tecnologia assistiva"
"design" -- "participatory systems"
"design" -- "typography"
"design" -- "test automation"
"design" -- "têxtil"
"design" -- "colour imaging"
"xenobiotics" -- "food chemistry"
"collaboration technologies" -- "human-computer interaction"
"digital culture" -- "social media"
"digital culture" -- "cultural informatics"
"global climate change" -- "sustainability"
"neuroimaging" -- "morphometry"
"neuroimaging" -- "independent component analysis"
"neuroimaging" -- "behavioral neurology"
"neuroimaging" -- "clinical neuroscience"
"neuroimaging" -- "brain development"
"neuroimaging" -- "neuromodulation"
"neuroimaging" -- "kunstmatige intelligentie"
"neuroimaging" -- "brain decoding"
"neuroimaging" -- "diffusion tensor imaging"
"neuroimaging" -- "brain connectivity"
"neuroimaging" -- "neurocognition"
"neuroimaging" -- "affective disorders"
"neuroimaging" -- "mdd"
"neuroimaging" -- "brain networks"
"neuroimaging" -- "entropy"
