"perceptual decision making" -- "attention"
"cognitive radio" -- "cooperative networks"
"cognitive radio" -- "massive mimo systems"
"cognitive radio" -- "global navigation satellite systems"
"cognitive radio" -- "radio wave propagation"
"cognitive radio" -- "interference alignment"
"cognitive radio" -- "antenna diversity"
"cognitive radio" -- "software defined radio"
"ndt" -- "emat"
"ndt" -- "capacitive sensing"
"ndt" -- "ultrasonic guided waves"
"ndt" -- "ultrasonics"
"ndt" -- "thermography"
"classical archaeology" -- "archaeology"
"mental health care" -- "health services research"
"pueblos indígenas" -- "ciencia política"
"grid computing" -- "cloud computing"
"animal domestication" -- "zooarchaeology"
"social integration" -- "discapacidad intelectual"
"functional reactive programming" -- "cps"
"aspirin" -- "platelets"
"graphene" -- "boron nitride"
"graphene" -- "nanotechnology"
"graphene" -- "vdw heterostructures"
"graphene" -- "tmds"
"graphene" -- "silicene"
"graphene" -- "low dimensional physics"
"graphene" -- "bn"
"graphene" -- "raman spectroscopy"
"graphene" -- "2d materials"
"graphene" -- "electrical characterization"
"graphene" -- "chemical vapor deposition"
"graphene" -- "tmd"
"graphene" -- "two-dimensional materials"
"graphene" -- "field effect transistors"
"graphene" -- "low-dimensional systems"
"graphene" -- "electrical energy storage"
"graphene" -- "nanoelectronics"
"graphene" -- "electronic properties"
"graphene" -- "electron transport"
"graphene" -- "graphene quantum dots"
"graphene" -- "2d crystals"
"graphene" -- "doping"
"graphene" -- "finfet"
"graphene" -- "anderson localization"
"graphene" -- "ti"
"graphene" -- "graphene nanoribbons"
"graphene" -- "field emission"
"graphene" -- "hrtem"
"graphene" -- "cnts"
"graphene" -- "fundamental"
"graphene" -- "other 2d materials"
"graphene" -- "2d layered materials"
"graphene" -- "graphene oxide"
"graphene" -- "carbon-based materials"
"graphene" -- "helium ion microscopy"
"graphene" -- "mos2"
"graphene" -- "cnt"
"graphene" -- "carbon nanotubes"
"graphene" -- "leed"
"graphene" -- "h-bn"
"graphene" -- "sic"
"graphene" -- "heterostructures"
"graphene" -- "graphite"
"graphene" -- "quantum hall effect"
"graphene" -- "quantum hall"
"computational plasticity" -- "geotechnical engineering"
"geomaterials" -- "geomechanics"
"axon guidance" -- "synaptogenesis"
"axon guidance" -- "neurobiology"
"multi-objective" -- "mixed-integer optimization"
"multi-objective" -- "robust design optimization"
"tactile sensing" -- "silk fibroin"
"tactile sensing" -- "robotics"
"early mammalian development" -- "small rnas"
"cardiochirurgia" -- "cardiologia"
"cardiochirurgia" -- "cellule staminali"
"cardiochirurgia" -- "medicina rigenerativa"
"unsaturated zone" -- "modeling"
"school design" -- "environmental design"
"bantu linguistics" -- "corpus linguistics"
"disaster mental health" -- "parenting interventions"
"disaster mental health" -- "medical anthropology"
"movement ecology" -- "conservation biology"
"movement ecology" -- "habitat selection"
"autoimmune hepatitis" -- "primary biliary cirrhosis"
"online interaction" -- "social capital"
"inflammation" -- "immunology"
"inflammation" -- "eicosanoids"
"inflammation" -- "leukocytes"
"inflammation" -- "lung infection"
"inflammation" -- "second interest"
"inflammation" -- "oxidative stress"
"inflammation" -- "sepsis"
"inflammation" -- "gout"
"inflammation" -- "resolution of inflammation"
"inflammation" -- "fibrosis"
"inflammation" -- "macrophages"
"inflammation" -- "nrf2"
"inflammation" -- "drug mechanism of action"
"inflammation" -- "innate immunity"
"inflammation" -- "glucocorticoids"
"inflammation" -- "host defence peptides"
"inflammation" -- "mif"
"body studies" -- "heritage"
"fluorescence enhancement" -- "plasmonics"
"pro-environmental behaviour" -- "energy policy"
"asymmetric cell division" -- "integrative modeling"
"ecoacoustics" -- "bioacoustics"
"logistics" -- "intermodal transport"
"logistics" -- "physical internet"
"logistics" -- "online optimization"
"logistics" -- "material handling"
"logistics" -- "partnerships"
"logistics" -- "transportation systems"
"logistics" -- "applied operations research"
"logistics" -- "grounded theory"
"logistics" -- "supply chain management"
"logistics" -- "port economics"
"logistics" -- "transportation"
"logistics" -- "lean production"
"logistics" -- "warehousing"
"logistics" -- "freight transportation"
"logistics" -- "scm"
"logistics" -- "facility location"
"logistics" -- "layout"
"logistics" -- "freight"
"logistics" -- "supply chain"
"logistics" -- "supply chain optimisation"
"biogeomorphology" -- "remote sensing"
"classroom interaction" -- "conversation analysis"
"univalent functions" -- "geometric function theory"
"occupational stress" -- "occupational health psychology"
"professional communication" -- "discourse analysis"
"professional communication" -- "technical"
"professional communication" -- "learning communities"
"kernel smoothing" -- "mixture models"
"applied game theory" -- "industrial organization"
"computational homogenization" -- "multiscale modeling"
"scientific software" -- "software engineering"
"tlr4" -- "intestine"
"reactor engineering" -- "mathematical modeling"
"chemical composition" -- "atmospheric chemistry"
"payments for ecosystem services" -- "bushmeat"
"payments for ecosystem services" -- "ecological economics"
"specific language impairment" -- "autism"
"bubbles" -- "crises"
"bubbles" -- "fluid mechanics"
"bubbles" -- "ir imaging"
"bubbles" -- "drops"
"virologia" -- "microbiologia"
"pattern mining" -- "data mining"
"geosimulation" -- "gis"
"multidrug resistance" -- "cancer"
"multidrug resistance" -- "abc transporters"
"microwave" -- "stability analysis"
"microwave" -- "terahertz electronics"
"microwave" -- "wood drying"
"microwave" -- "phase noise"
"microwave" -- "millimetre waves"
"microwave" -- "millimeter wave"
"microwave" -- "electromagnetic fields"
"microwave" -- "millimeter-wave circuits"
"microwave" -- "rf"
"microwave" -- "antennas"
"microwave" -- "passive devices"
"gravitational lensing" -- "cosmology"
"simulation algorithms" -- "financial networks"
"healthcare information systems" -- "complex systems"
"les methods" -- "hybrid rans"
"les methods" -- "computational fluid dynamics"
"interreligious dialogue" -- "sociology of education"
"ev charging" -- "microgrids"
"farmacotécnica" -- "tecnologia farmacêutica"
"information visualisation" -- "human-computer interaction"
"avian biology" -- "ecology"
"organisational change" -- "information systems"
"property development" -- "urban design"
"higher education" -- "threshold concepts"
"higher education" -- "faculty work"
"higher education" -- "faculty"
"higher education" -- "education policy"
"higher education" -- "campus climate"
"higher education" -- "graduate attributes"
"higher education" -- "college student development"
"higher education" -- "academic profession"
"higher education" -- "graduate employability"
"higher education" -- "organizational studies"
"higher education" -- "doctoral education"
"higher education" -- "graduate education"
"higher education" -- "quality assurance"
"higher education" -- "international students"
"higher education" -- "academic literacy"
"higher education" -- "student experience"
"higher education" -- "college"
"higher education" -- "internationalization of higher education"
"higher education" -- "educational development"
"higher education" -- "student development"
"higher education" -- "administrative history"
"higher education" -- "intercollegiate athletics"
"higher education" -- "institutional research"
"higher education" -- "universities"
"higher education" -- "retention"
"higher education" -- "college access"
"higher education" -- "international higher education"
"higher education" -- "center for research on undergraduate"
"higher education" -- "student"
"higher education" -- "college students"
"higher education" -- "academic development"
"higher education" -- "community colleges"
"higher education" -- "sotl"
"higher education" -- "learning"
"higher education" -- "student affairs"
"higher education" -- "academic integrity"
"higher education" -- "student success"
"industrial communication" -- "wireless sensor networks"
"industrial communication" -- "fieldbuses"
"emotional memory" -- "stress resilience"
"interactive information retrieval" -- "search user interfaces"
"interactive information retrieval" -- "information science"
"inter-organizational networks" -- "competition"
"migration research" -- "interpretive methods"
"computer crime" -- "corruption"
"biosolids" -- "greenhouse gas"
"ingaas" -- "gan"
"audience reception" -- "media"
"psychophysical methods" -- "visual perception"
"environmental electrochemistry" -- "green chemistry"
"education policy studies" -- "history of education"
"collaborative engineering" -- "emotional engineering"
"collaborative engineering" -- "reliability engineering"
"coaching" -- "coach education"
"coaching" -- "leadership"
"landscape history" -- "environmental archaeology"
"presence" -- "virtual reality"
"presence" -- "medienpsychologie"
"cosmochemistry" -- "presolar grains"
"cosmochemistry" -- "meteoritics"
"cosmochemistry" -- "geochemistry"
"derecho internacional" -- "derechos humanos"
"iletişim" -- "siyasal iletişim"
"iletişim" -- "halkla ilişkiler"
"iletişim" -- "mobbing"
"iletişim" -- "liderlik"
"iletişim" -- "televizyon"
"iletişim" -- "medya"
"iletişim" -- "reklam"
"iletişim" -- "spor yönetimi"
"iletişim" -- "sosyal medya"
"mycorrhizal fungi" -- "biogeochemistry"
"flow injection analysis" -- "analytical chemistry"
"pharmaceutical biology" -- "pharmacognosy"
"biothermodynamics" -- "drug delivery"
"serious mental illness" -- "co-occurring disorders"
"microbial ecophysiology" -- "geobiochemistry"
"microbial ecophysiology" -- "biogeochemistry"
"evolutionary" -- "conservation biology"
"macular degeneration" -- "diabetic retinopathy"
"immunoinformatics" -- "bioinformatics"
"business sustainability" -- "corporate social responsibility"
"whiplash" -- "neck pain"
"european law" -- "european administrative law"
"european law" -- "european court of justice"
"european law" -- "international law"
"european law" -- "public procurement"
"ground source heat pump systems" -- "optimization"
"unmanned aircraft" -- "robotics"
"simulazione" -- "meccatronica"
"usable security" -- "user authentication"
"usable security" -- "privacy"
"usable security" -- "datenschutz"
"usable security" -- "graphical passwords"
"problem" -- "emerging technologies"
"analysts" -- "hedge funds"
"sociología de la educación" -- "educación"
"entanglement" -- "quantum optics"
"entanglement" -- "quantum state engineering"
"entanglement" -- "quantum correlations"
"entanglement" -- "nonlocality"
"diritti fondamentali" -- "fonti del diritto"
"diritti fondamentali" -- "diritto"
"solar desalination" -- "solar energy"
"violent extremism" -- "radicalisation"
"landscape" -- "forest history"
"landscape" -- "gardening"
"landscape" -- "greek archaeology"
"landscape" -- "greek religion"
"landscape" -- "archaeology"
"landscape" -- "secondary forests"
"reits" -- "real estate finance"
"combustion kinetics" -- "internal combustion engines"
"pilas de combustible" -- "coloides"
"pilas de combustible" -- "materiales"
"pilas de combustible" -- "propiedades mecánicas"
"inorganic photochemistry" -- "photophysics"
"knowledge discovery" -- "data mining"
"metallography" -- "materials science"
"biomedical computing" -- "artificial intelligence"
"david hume" -- "history of early modern philosophy"
"soft matter science" -- "polymer science"
"resource optimization" -- "risk assessment"
"mammals" -- "conservation biology"
"mammals" -- "cetaceans"
"mammals" -- "chromosomal evolution"
"mammals" -- "cone snails"
"mammals" -- "edna"
"nand flash memory" -- "dram"
"manganites" -- "multiferroics"
"horror fiction" -- "film"
"computational electrophysiology" -- "biomedical signal processing"
"digital curation" -- "digital preservation"
"behavioral neurobiology" -- "women s health"
"trace element biogeochemistry" -- "materials science"
"biolinguistics" -- "comparative studies"
"biolinguistics" -- "syntax"
"stomata" -- "reproduction"
"stomata" -- "water use efficiency"
"stomata" -- "plant evo devo"
"cardiovascular bioengineering" -- "mechanobiology"
"alimentação" -- "consumo"
"human resource development" -- "human resource management"
"human resource development" -- "workplace learning"
"discrete element method" -- "fresh concrete"
"discrete element method" -- "granular materials"
"discrete element method" -- "multi-physical modeling"
"discrete element method" -- "rock mechanics"
"pore network modeling" -- "porous media"
"heritage tourism" -- "cultural tourism"
"heritage tourism" -- "sustainable tourism"
"control systems" -- "battery systems"
"control systems" -- "robotics"
"sparse representation" -- "image processing"
"ethnomedicine" -- "natural products"
"binaural audio" -- "acoustics"
"complementary medicine" -- "integrative medicine"
"quantum walks" -- "quantum information"
"plasma propulsion" -- "dense plasmas"
"calcium imaging" -- "cardiac pathophysiology"
"calcium imaging" -- "respiratory control"
"calcium imaging" -- "microcirculation"
"welsh" -- "dialect"
"health economics" -- "health care costs"
"health economics" -- "health information"
"health economics" -- "education economics"
"health economics" -- "middle-income countries"
"health economics" -- "outcomes research"
"health economics" -- "health outcomes research"
"health economics" -- "health outcomes"
"health economics" -- "pharmaceutical economics"
"health economics" -- "health technology assessment"
"health economics" -- "health care delivery"
"health economics" -- "health insurance"
"health economics" -- "cost-effectiveness"
"health economics" -- "economic evaluation"
"health economics" -- "discrete choice experiments"
"health economics" -- "health care financing"
"health economics" -- "health care workforce"
"health economics" -- "economics of aging"
"health economics" -- "cost-effectiveness analysis"
"health economics" -- "population economics"
"health economics" -- "patient preferences"
"health economics" -- "low-income countries"
"health economics" -- "labor economics"
"health economics" -- "pharmacoeconomics"
"health economics" -- "hta"
"health economics" -- "informal care"
"health economics" -- "decision modelling"
"health economics" -- "public policy evaluation"
"health economics" -- "health policy"
"plant community assembly" -- "ecology"
"fractional differential equations" -- "numerical methods"
"geometric design" -- "traffic safety"
"mixed methods" -- "collaborative knowledge creation"
"mixed methods" -- "early learning"
"mixed methods" -- "experience sampling"
"mixed methods" -- "informal learning environments"
"mixed methods" -- "qualitative"
"artificial creativity" -- "music"
"voronoi diagram" -- "bioinformatics"
"sustainable livelihoods" -- "ecosystem services"
"nanoscale fabrication" -- "carbon nanostructures"
"odonata" -- "entomology"
"pelletization" -- "torrefaction"
"networked learning" -- "educational technology"
"offshore wind energy" -- "renewable energy"
"autism" -- "fragile x syndrome"
"autism" -- "gaze perception"
"autism" -- "adhd"
"autism" -- "brain circuits"
"autism" -- "applied behaviour analysis"
"autism" -- "cns development"
"autism" -- "applied behavior analysis"
"autism" -- "social skills"
"autism" -- "social motivation"
"autism" -- "twin studies"
"autism" -- "quality of life research"
"autism" -- "severe disabilities"
"autism" -- "parent training"
"autism" -- "imitation"
"autism" -- "video modeling"
"autism" -- "early intervention"
"autism" -- "challenging behavior"
"autism" -- "behavior analysis"
"autism" -- "sensory processing"
"autism" -- "self-representation"
"autism" -- "personnel preparation"
"autism" -- "developmental disabilities"
"autism" -- "special education"
"autism" -- "intellectual disability"
"autism" -- "social communication"
"autism" -- "face processing"
"autism" -- "adapted physical activity"
"autism" -- "neurodiversity"
"autism" -- "neuroscience"
"autism" -- "molecular neuropsychiatry"
"autism" -- "asd"
"ion traps" -- "quantum computing"
"markov decision processes" -- "machine learning"
"spine biomechanics" -- "orthopaedic biomechanics"
"spine biomechanics" -- "ergonomics"
"spine biomechanics" -- "intervertebral disc degeneration"
"traducción audiovisual" -- "traducción"
"micromorphology" -- "glaciology"
"geothermal systems" -- "geology"
"analytical mechanics" -- "control theory"
"marine genomics" -- "coral reefs"
"neighbourhoods" -- "housing"
"territorial governance" -- "spatial planning"
"silicon nitride" -- "quantum optics"
"silicon nitride" -- "refractory materials"
"fungal endophytes" -- "lepidoptera"
"crm" -- "marketing"
"tangible computing" -- "human-computer interaction"
"geospatial science" -- "remote sensing"
"design science" -- "information systems"
"lagrangian coherent structures" -- "experimental aerodynamics"
"intelligenza artificiale" -- "medical imaging"
"intelligenza artificiale" -- "ricerca operativa"
"intelligenza artificiale" -- "basi di dati"
"intelligenza artificiale" -- "ingegneria elettrica"
"electrical machines" -- "linear motor"
"electrical machines" -- "wavelet theory"
"electrical machines" -- "power electronics"
"electrical machines" -- "electromagnetic analysis"
"electrical machines" -- "synchronous machines"
"electrical machines" -- "induction motors"
"electrical machines" -- "homogenisation"
"electrical machines" -- "applied superconductivity"
"jungian psychology" -- "reflective practice"
"deductive databases" -- "semantics"
"electronic measurements" -- "electrical"
"phenotypic plasticity" -- "evolution"
"poststructural theory" -- "education"
"solar energy utilization" -- "radiative heat transfer"
"sns" -- "privacy"
"cad tools" -- "reconfigurable computing"
"urban politics" -- "participatory democracy"
"urban politics" -- "urban public policy"
"urban politics" -- "public policy"
"urban politics" -- "urban violence"
"urban politics" -- "national security policy"
"urban politics" -- "global cities"
"gene transcription" -- "gene regulation"
"low power electronics" -- "embedded systems"
"knee replacement" -- "hip"
"medicine" -- "regulatory rnas"
"medicine" -- "climate change studies"
"medicine" -- "eighteenth century"
"medicine" -- "genetik"
"medicine" -- "18th century"
"medicine" -- "healthcare policy"
"medicine" -- "coronary heart disease"
"medicine" -- "biology"
"medicine" -- "cancer cell signaling"
"medicine" -- "biochemical analysis"
"medicine" -- "psychosocial risk factors"
"medicine" -- "history of gender"
"medicine" -- "aromatic plants"
"medicine" -- "clinical studies"
"medicine" -- "surgery"
"medicine" -- "rhetoric of health"
"medicine" -- "heart rhythm disorders"
"medicine" -- "medical research"
"medicine" -- "psykiatri"
"medicine" -- "computational health"
"medicine" -- "agricultural health"
"medicine" -- "vitalism"
"medicine" -- "history of cinema"
"medicine" -- "history of early modern philosophy"
"medicine" -- "prenatal development"
"medicine" -- "radiologia"
"medicine" -- "oral science"
"medicine" -- "viral diseases"
"medicine" -- "psychosocial rehabilitation"
"medicine" -- "randomised trials"
"medicine" -- "social psychiatry"
"medicine" -- "medicina"
"medicine" -- "modern european history"
"medicine" -- "medical computer science"
"specific ion effects" -- "atmospheric chemistry"
"waveform design" -- "pulse compression"
"waveform design" -- "radar signal processing"
"middle english" -- "medieval literature"
"middle english" -- "old english"
"space weather" -- "coronal mass ejections"
"space weather" -- "finite-difference time-domain (fdtd)"
"space weather" -- "solar astrophysics"
"space weather" -- "space plasma physics"
"space weather" -- "radiation belts"
"space weather" -- "csem"
"space weather" -- "ionospheric scintillation"
"space weather" -- "ring current"
"space weather" -- "space climate"
"space weather" -- "heliophysics"
"space weather" -- "space physics"
"space weather" -- "ionospheric physics"
"space weather" -- "substorms"
"space weather" -- "spacecraft engineering"
"spectral" -- "machine vision"
"sistema financiero" -- "gobierno corporativo"
"sistema financiero" -- "política monetaria"
"folklore" -- "anthropology"
"cognitive bias modification" -- "anxiety disorders"
"industry evolution" -- "entrepreneurship"
"metallurgical engineering" -- "mining engineering"
"human trafficking" -- "organised crime"
"human trafficking" -- "migration"
"human trafficking" -- "forced labour"
"insulin action" -- "metabolism"
"positive organizational scholarship" -- "positive psychology"
"social attitudes" -- "political behaviour"
"linguistic pragmatics" -- "philosophy of language"
"text analytics" -- "machine learning"
"genetica di popolazione" -- "biodiversità"
"architectural education" -- "architectural design"
"human movement analysis" -- "biomechanics"
"plant volatiles" -- "food chemistry"
"sirt1" -- "leptin"
"meshing" -- "anisotropic"
"meshing" -- "superconvergence"
"meshing" -- "pre"
"meshing" -- "computational geometry"
"meshing" -- "cvt"
"meshing" -- "computational math"
"cae" -- "cad"
"interference mitigation" -- "ieee 802.11"
"ibd" -- "intestinal inflammation"
"ibd" -- "gastrointestinal cancer"
"ibd" -- "ibs"
"ibd" -- "mucosal immunology"
"environment health" -- "nutrition"
"building automation" -- "smart grid"
"outdoor learning" -- "physical education"
"crecimiento económico" -- "economía regional"
"crecimiento económico" -- "convergencia"
"crecimiento económico" -- "desarrollo económico"
"adipose tissue" -- "obesity"
"monetary economics" -- "macroeconomics"
"monetary economics" -- "payment systems"
"monetary economics" -- "keynesian economics"
"monetary economics" -- "international macro"
"monetary economics" -- "applied macroeconomics"
"monetary economics" -- "macroeconomic theory"
"humanitarian intervention" -- "non-ideal theory"
"humanitarian intervention" -- "human rights"
"neural decoding" -- "vision"
"energy consumption" -- "rebound effect"
"energy consumption" -- "energy policy"
"stochastic dominance" -- "portfolio management"
"dynamic combinatorial chemistry" -- "supramolecular chemistry"
"ecc" -- "ldpc"
"ecc" -- "electronic voting"
"ecc" -- "polar codes"
"microbe-host interactions" -- "rna virus evolution"
"microbe-host interactions" -- "microbial ecology"
"beni culturali" -- "ecologia"
"innovation studies" -- "economic geography"
"multisensory integration" -- "bodily self"
"multisensory integration" -- "perception"
"multisensory integration" -- "sensorimotor systems"
"multisensory integration" -- "temporal processing"
"robot control" -- "cell manipulation"
"robot control" -- "robotics"
"mg alloys" -- "ti alloys"
"cytogenomics" -- "cancer genomics"
"in vivo imaging" -- "plant energy biology"
"in vivo imaging" -- "nanomedecine"
"in vivo imaging" -- "ensemble learning"
"time use" -- "gender"
"time use" -- "cultural values"
"transcultural studies" -- "latin american"
"biomembranes" -- "biophysics"
"piezoelectric" -- "design of functional materials"
"piezoelectric" -- "magnetic field sensors"
"piezoelectric" -- "ferroelectrics"
"piezoelectric" -- "electroceramics"
"piezoelectric" -- "triboelectric"
"piezoelectric" -- "metal oxide thin films"
"piezoelectric" -- "energy harvesting"
"piezoelectric" -- "pyroelectricity"
"piezoelectric" -- "crystal optics"
"piezoelectric" -- "amorphous carbon"
"triple helix" -- "innovation"
"microbiome analysis" -- "statistical analysis"
"hydraulics" -- "river dynamics"
"hydraulics" -- "hydrology"
"hydraulics" -- "pneumatics"
"hydraulics" -- "hydraulic structures"
"hydraulics" -- "river morphology"
"behavioural pharmacology" -- "addiction"
"interactive television" -- "ux"
"register variation" -- "corpus linguistics"
"er stress" -- "unfolded protein response"
"er stress" -- "diabetes"
"postural stability" -- "anterior cruciate ligament"
"dental fear" -- "memory"
"taxonomy" -- "biosystematics"
"taxonomy" -- "systematics"
"taxonomy" -- "coleoptera"
"taxonomy" -- "systematic botany"
"taxonomy" -- "molecular phylogeny"
"taxonomy" -- "meiofauna"
"taxonomy" -- "malacology"
"mediterranean diet" -- "nutrition"
"laser materials" -- "laser material processing"
"academic success" -- "motivation"
"parliaments" -- "political parties"
"parliaments" -- "political ethics"
"parliaments" -- "political careers"
"adjuvant" -- "vaccines"
"mendelian randomization" -- "adaptive clinical trials"
"mendelian randomization" -- "cardiovascular disease"
"mendelian randomization" -- "instrumental variables"
"charge exchange" -- "atomic"
"super-resolution microscopy" -- "biophysics"
"zinc oxide" -- "nanotechnology"
"geologia" -- "paleontologia"
"geologia" -- "sedymentologia"
"geologia" -- "hidrogeologia"
"geologia" -- "geotectônica"
"geologia" -- "geoturystyka"
"geologia" -- "geochimica"
"geologia" -- "geologia applicata"
"geologia" -- "metalogenia"
"geologia" -- "scienze della terra"
"geologia" -- "desastres naturais"
"geologia" -- "górnictwo"
"geologia" -- "geociências"
"geologia" -- "cosmologia"
"geologia" -- "gis"
"geologia" -- "geoquímica"
"geologia" -- "geomorfologia"
"entrainment" -- "lighting"
"entrainment" -- "visuospatial attention"
"democratic peace" -- "international relations"
"perceived organizational support" -- "ocb"
"fault-tolerant computing" -- "multi-core architecture"
"fault-tolerant computing" -- "computer arithmetic"
"retinal physiology" -- "circadian biology"
"simulation modeling" -- "operations research"
"simulation modeling" -- "moral behavior"
"bio-inspired design" -- "robotics"
"ercp" -- "eus"
"ercp" -- "endoscopy"
"body size" -- "food webs"
"computational condensed matter physics" -- "density functional theory"
"family well-being" -- "child"
"boron nitride nanotubes" -- "plasma spray"
"boron nitride nanotubes" -- "nanocomposites"
"bridges" -- "concrete"
"vulcanology" -- "remote sensing"
"global hydrology" -- "gis"
"ecologia de peixes" -- "limnologia"
"ecologia de peixes" -- "pesca"
"network computing" -- "big data analysis"
"sprachphilosophie" -- "semantik"
"carbon dioxide reduction" -- "oxygen reduction"
"code analysis" -- "software reliability"
"functional gastrointestinal disorders" -- "gastroenterology"
"comic books" -- "diplomacy"
"protein x-ray crystallography" -- "structural biology"
"transplantation" -- "immunology"
"transplantation" -- "pancreatic islets"
"transplantation" -- "renal"
"transplantation" -- "organ donation"
"transplantation" -- "liver surgery"
"transplantation" -- "patient centered outcomes"
"transplantation" -- "lymphoma biology"
"transplantation" -- "nephrology"
"transplantation" -- "endothelial cell biology"
"transplantation" -- "cmv"
"transplantation" -- "hepatobiliary surgery"
"energy fuels" -- "materials science"
"squid" -- "observational cosmology"
"chronic disease management" -- "obesity"
"time" -- "temporality"
"time" -- "memory"
"time" -- "competency assessment"
"periodontal medicine" -- "periodontology"
"cda" -- "corpus linguistics"
"project planning" -- "project management"
"densification" -- "urban design"
"market structure" -- "marketing research"
"environmental toxicology" -- "environmental chemistry"
"many-core systems" -- "embedded systems"
"image deblurring" -- "inverse problems"
"cognitive neuroscience" -- "episodic memory"
"cognitive neuroscience" -- "multisensory interactions"
"cognitive neuroscience" -- "computational psychiatry"
"cognitive neuroscience" -- "predictive coding"
"cognitive neuroscience" -- "cognitive neuropsychology"
"cognitive neuroscience" -- "music cognition"
"cognitive neuroscience" -- "rhythm"
"cognitive neuroscience" -- "neuronal oscillations"
"cognitive neuroscience" -- "semantic memory"
"cognitive neuroscience" -- "educational neuroscience"
"cognitive neuroscience" -- "neuroaesthetics"
"cognitive neuroscience" -- "experimental psychology"
"cognitive neuroscience" -- "attention"
"cognitive neuroscience" -- "multimodal neuroimaging"
"cognitive neuroscience" -- "brain rhythms"
"cognitive neuroscience" -- "locus coeruleus"
"cognitive neuroscience" -- "cognitive psychology"
"cognitive neuroscience" -- "psychology"
"cognitive neuroscience" -- "computational cognitive neuroscience"
"cognitive neuroscience" -- "category learning"
"cognitive neuroscience" -- "time perception"
"cognitive neuroscience" -- "multisensory processing"
"cognitive neuroscience" -- "action control"
"cognitive neuroscience" -- "semantic cognition"
"cognitive neuroscience" -- "psychiatric illness"
"cognitive neuroscience" -- "memory"
"cognitive neuroscience" -- "neurobiology of language"
"cognitive neuroscience" -- "temporal representation"
"cognitive neuroscience" -- "communication disorders"
"cognitive neuroscience" -- "affective neuroscience"
"cognitive neuroscience" -- "interoception"
"cognitive neuroscience" -- "neuropsychology"
"cognitive neuroscience" -- "motor cognition"
"cognitive neuroscience" -- "clinical neuropsychology"
"cognitive neuroscience" -- "mental imagery"
"cognitive neuroscience" -- "social affective neuroscience"
"cognitive neuroscience" -- "numerical cognition"
"cognitive neuroscience" -- "empirical aesthetics"
"public health informatics" -- "biomedical informatics"
"ece" -- "ep"
"ece" -- "microwave imaging"
"multilevel theory" -- "methods"
"language theory" -- "literary theory"
"mixed matrix membranes" -- "desulfurization"
"mixed matrix membranes" -- "gas separation"
"ambient noise" -- "seismology"
"gpgpus" -- "computer architecture"
"terminologie" -- "artificial inteligence"
"terminologie" -- "traitement automatique des langues"
"foundations of quantum physics" -- "mathematical physics"
