"perceptual decision making" -- "attention"
"graphene" -- "graphene nanoribbons"
"graphene" -- "chemical vapor deposition"
"graphene" -- "carbon nanotubes"
"graphene" -- "2d layered materials"
"graphene" -- "nanotechnology"
"graphene" -- "graphene oxide"
"graphene" -- "electron transport"
"graphene" -- "helium ion microscopy"
"graphene" -- "mos2"
"graphene" -- "low dimensional physics"
"graphene" -- "nanoelectronics"
"graphene" -- "heterostructures"
"graphene" -- "leed"
"graphene" -- "doping"
"graphene" -- "electronic properties"
"graphene" -- "two-dimensional materials"
"graphene" -- "hrtem"
"graphene" -- "quantum hall effect"
"graphene" -- "quantum hall"
"geomaterials" -- "geomechanics"
"axon guidance" -- "neurobiology"
"multi-objective" -- "robust design optimization"
"tactile sensing" -- "silk fibroin"
"tactile sensing" -- "robotics"
"insect vision" -- "neuroethology"
"disaster mental health" -- "medical anthropology"
"inflammation" -- "immunology"
"inflammation" -- "leukocytes"
"inflammation" -- "lung infection"
"inflammation" -- "second interest"
"inflammation" -- "oxidative stress"
"inflammation" -- "sepsis"
"inflammation" -- "gout"
"inflammation" -- "resolution of inflammation"
"inflammation" -- "fibrosis"
"inflammation" -- "macrophages"
"inflammation" -- "nrf2"
"inflammation" -- "innate immunity"
"inflammation" -- "glucocorticoids"
"inflammation" -- "eicosanoids"
"pro-environmental behaviour" -- "energy policy"
"asymmetric cell division" -- "integrative modeling"
"logistics" -- "intermodal transport"
"logistics" -- "online optimization"
"logistics" -- "applied operations research"
"logistics" -- "partnerships"
"logistics" -- "transportation systems"
"logistics" -- "grounded theory"
"logistics" -- "supply chain management"
"logistics" -- "port economics"
"logistics" -- "transportation"
"logistics" -- "lean production"
"logistics" -- "warehousing"
"logistics" -- "freight transportation"
"logistics" -- "scm"
"logistics" -- "facility location"
"logistics" -- "supply chain optimisation"
"logistics" -- "freight"
"logistics" -- "supply chain"
"logistics" -- "material handling"
"biogeomorphology" -- "remote sensing"
"classroom interaction" -- "conversation analysis"
"occupational stress" -- "occupational health psychology"
"professional communication" -- "discourse analysis"
"professional communication" -- "technical"
"professional communication" -- "learning communities"
"applied game theory" -- "industrial organization"
"lte-advanced" -- "mobility management"
"reactor engineering" -- "mathematical modeling"
"payments for ecosystem services" -- "bushmeat"
"payments for ecosystem services" -- "ecological economics"
"bubbles" -- "crises"
"bubbles" -- "fluid mechanics"
"bubbles" -- "drops"
"virologia" -- "microbiologia"
"pattern mining" -- "data mining"
"multidrug resistance" -- "cancer"
"multidrug resistance" -- "abc transporters"
"seti" -- "interstellar medium"
"gravitational lensing" -- "cosmology"
"healthcare information systems" -- "complex systems"
"les methods" -- "hybrid rans"
"les methods" -- "computational fluid dynamics"
"interreligious dialogue" -- "sociology of education"
"laser diagnostics" -- "combustion"
"laser diagnostics" -- "multiple scattering"
"information visualisation" -- "human-computer interaction"
"avian biology" -- "ecology"
"organisational change" -- "information systems"
"higher education" -- "threshold concepts"
"higher education" -- "faculty"
"higher education" -- "education policy"
"higher education" -- "campus climate"
"higher education" -- "college student development"
"higher education" -- "academic profession"
"higher education" -- "graduate employability"
"higher education" -- "organizational studies"
"higher education" -- "doctoral education"
"higher education" -- "graduate education"
"higher education" -- "quality assurance"
"higher education" -- "international students"
"higher education" -- "academic literacy"
"higher education" -- "student experience"
"higher education" -- "internationalization of higher education"
"higher education" -- "college"
"higher education" -- "educational development"
"higher education" -- "student development"
"higher education" -- "administrative history"
"higher education" -- "intercollegiate athletics"
"higher education" -- "institutional research"
"higher education" -- "universities"
"higher education" -- "retention"
"higher education" -- "college access"
"higher education" -- "international higher education"
"higher education" -- "center for research on undergraduate"
"higher education" -- "student"
"higher education" -- "college students"
"higher education" -- "academic development"
"higher education" -- "community colleges"
"higher education" -- "sotl"
"higher education" -- "learning"
"higher education" -- "student affairs"
"higher education" -- "academic integrity"
"higher education" -- "student success"
"industrial communication" -- "wireless sensor networks"
"emotional memory" -- "stress resilience"
"interactive information retrieval" -- "search user interfaces"
"interactive information retrieval" -- "information science"
"first-principles calculations" -- "defect physics"
"first-principles calculations" -- "materials science"
"first-principles calculations" -- "computational thermodynamics"
"servicios sociales" -- "trabajo social"
"biosolids" -- "greenhouse gas"
"smart lighting" -- "lighting design"
"collaborative engineering" -- "reliability engineering"
"coaching" -- "coach education"
"coaching" -- "leadership"
"landscape history" -- "environmental archaeology"
"presence" -- "virtual reality"
"cosmochemistry" -- "meteoritics"
"cosmochemistry" -- "geochemistry"
"derecho internacional" -- "derechos humanos"
"iletişim" -- "liderlik"
"iletişim" -- "televizyon"
"iletişim" -- "siyasal iletişim"
"iletişim" -- "medya"
"iletişim" -- "sosyal medya"
"iletişim" -- "spor yönetimi"
"mycorrhizal fungi" -- "biogeochemistry"
"serious mental illness" -- "co-occurring disorders"
"evolutionary" -- "conservation biology"
"macular degeneration" -- "diabetic retinopathy"
"immunoinformatics" -- "bioinformatics"
"whiplash" -- "neck pain"
"european law" -- "international law"
"european law" -- "public procurement"
"unmanned aircraft" -- "robotics"
"simulazione" -- "meccatronica"
"usable security" -- "privacy"
"usable security" -- "datenschutz"
"usable security" -- "user authentication"
"sociología de la educación" -- "educación"
"entanglement" -- "quantum optics"
"entanglement" -- "quantum correlations"
"diritti fondamentali" -- "fonti del diritto"
"diritti fondamentali" -- "diritto"
"violent extremism" -- "radicalisation"
"landscape" -- "greek archaeology"
"landscape" -- "archaeology"
"landscape" -- "gardening"
"landscape" -- "secondary forests"
"reits" -- "real estate finance"
"combustion kinetics" -- "internal combustion engines"
"pilas de combustible" -- "coloides"
"pilas de combustible" -- "materiales"
"inorganic photochemistry" -- "photophysics"
"digital learning" -- "education"
"chinese philosophy" -- "ethics"
"stable isotope analysis" -- "biological anthropology"
"soft matter science" -- "polymer science"
"resource optimization" -- "risk assessment"
"mammals" -- "conservation biology"
"mammals" -- "cetaceans"
"mammals" -- "edna"
"nand flash memory" -- "dram"
"manganites" -- "multiferroics"
"digital curation" -- "digital preservation"
"trace element biogeochemistry" -- "materials science"
"biolinguistics" -- "comparative studies"
"biolinguistics" -- "syntax"
"stomata" -- "water use efficiency"
"stomata" -- "reproduction"
"discrete element method" -- "granular materials"
"discrete element method" -- "rock mechanics"
"heritage tourism" -- "cultural tourism"
"heritage tourism" -- "sustainable tourism"
"reaction engineering" -- "catalysis"
"sparse representation" -- "image processing"
"complementary medicine" -- "integrative medicine"
"quantum walks" -- "quantum information"
"electronic commerce" -- "information systems"
"calcium imaging" -- "respiratory control"
"calcium imaging" -- "microcirculation"
"welsh" -- "dialect"
"health economics" -- "cost-effectiveness"
"health economics" -- "health information"
"health economics" -- "education economics"
"health economics" -- "outcomes research"
"health economics" -- "health outcomes research"
"health economics" -- "pharmaceutical economics"
"health economics" -- "health technology assessment"
"health economics" -- "health care delivery"
"health economics" -- "health outcomes"
"health economics" -- "economic evaluation"
"health economics" -- "discrete choice experiments"
"health economics" -- "economics of aging"
"health economics" -- "cost-effectiveness analysis"
"health economics" -- "population economics"
"health economics" -- "patient preferences"
"health economics" -- "labor economics"
"health economics" -- "pharmacoeconomics"
"health economics" -- "hta"
"health economics" -- "health insurance"
"health economics" -- "decision modelling"
"health economics" -- "public policy evaluation"
"health economics" -- "health policy"
"geometric design" -- "traffic safety"
"mixed methods" -- "informal learning environments"
"mixed methods" -- "qualitative"
"mixed methods" -- "experience sampling"
"sustainable livelihoods" -- "ecosystem services"
"structure from motion" -- "computer vision"
"английский язык" -- "филология"
"thermal plasma" -- "waste treatment"
"autism" -- "fragile x syndrome"
"autism" -- "applied behavior analysis"
"autism" -- "adhd"
"autism" -- "applied behaviour analysis"
"autism" -- "cns development"
"autism" -- "social skills"
"autism" -- "asd"
"autism" -- "parent training"
"autism" -- "imitation"
"autism" -- "video modeling"
"autism" -- "early intervention"
"autism" -- "challenging behavior"
"autism" -- "behavior analysis"
"autism" -- "sensory processing"
"autism" -- "twin studies"
"autism" -- "developmental disabilities"
"autism" -- "special education"
"autism" -- "intellectual disability"
"autism" -- "specific language impairment"
"autism" -- "face processing"
"autism" -- "adapted physical activity"
"autism" -- "neuroscience"
"autism" -- "social communication"
"ion traps" -- "quantum computing"
"markov decision processes" -- "machine learning"
"spine biomechanics" -- "orthopaedic biomechanics"
"spine biomechanics" -- "ergonomics"
"physical activity promotion" -- "exercise psychology"
"geothermal systems" -- "geology"
"tectónica" -- "geofísica"
"tectónica" -- "paleomagnetismo"
"tectónica" -- "geoquímica"
"tectónica" -- "geología estructural"
"marine genomics" -- "coral reefs"
"neighbourhoods" -- "housing"
"territorial governance" -- "spatial planning"
"drug screening" -- "molecular biology"
"tangible computing" -- "human-computer interaction"
"design science" -- "information systems"
"critical gis" -- "health geography"
"critical gis" -- "spatial big data"
"intelligenza artificiale" -- "medical imaging"
"intelligenza artificiale" -- "ricerca operativa"
"intelligenza artificiale" -- "basi di dati"
"electrical machines" -- "synchronous machines"
"electrical machines" -- "homogenisation"
"electrical machines" -- "power electronics"
"electrical machines" -- "wavelet theory"
"electrical machines" -- "applied superconductivity"
"phenotypic plasticity" -- "evolution"
"solar energy utilization" -- "radiative heat transfer"
"sns" -- "privacy"
"posttraumatic stress" -- "alcohol use disorders"
"urban politics" -- "participatory democracy"
"urban politics" -- "urban public policy"
"urban politics" -- "public policy"
"urban politics" -- "urban violence"
"urban politics" -- "global cities"
"gene transcription" -- "gene regulation"
"low power electronics" -- "embedded systems"
"medicine" -- "regulatory rnas"
"medicine" -- "medical research"
"medicine" -- "healthcare policy"
"medicine" -- "genetik"
"medicine" -- "modern european history"
"medicine" -- "18th century"
"medicine" -- "coronary heart disease"
"medicine" -- "biology"
"medicine" -- "aromatic plants"
"medicine" -- "cancer cell signaling"
"medicine" -- "radiologia"
"medicine" -- "viral diseases"
"medicine" -- "randomised trials"
"medicine" -- "clinical studies"
"medicine" -- "medicina"
"medicine" -- "social psychiatry"
"medicine" -- "surgery"
"specific ion effects" -- "atmospheric chemistry"
"waveform design" -- "radar signal processing"
"authoritarian regimes" -- "political economy of development"
"space weather" -- "coronal mass ejections"
"space weather" -- "space climate"
"space weather" -- "ionospheric physics"
"space weather" -- "heliophysics"
"space weather" -- "radiation belts"
"space weather" -- "space plasma physics"
"space weather" -- "space physics"
"space weather" -- "csem"
"space weather" -- "substorms"
"space weather" -- "ionospheric scintillation"
"spectral" -- "machine vision"
"sistema financiero" -- "gobierno corporativo"
"folklore" -- "anthropology"
"cognitive bias modification" -- "anxiety disorders"
"metallurgical engineering" -- "mining engineering"
"human trafficking" -- "migration"
"human trafficking" -- "organised crime"
"insulin action" -- "metabolism"
"positive organizational scholarship" -- "positive psychology"
"social attitudes" -- "political behaviour"
"vascular access" -- "dialysis"
"architectural education" -- "architectural design"
"human movement analysis" -- "biomechanics"
"meshing" -- "computational geometry"
"cae" -- "cad"
"interference mitigation" -- "ieee 802.11"
"ibd" -- "mucosal immunology"
"ibd" -- "gastrointestinal cancer"
"ibd" -- "ibs"
"ibd" -- "intestinal inflammation"
"building automation" -- "smart grid"
"crecimiento económico" -- "economía regional"
"crecimiento económico" -- "desarrollo económico"
"adipose tissue" -- "obesity"
"monetary economics" -- "applied macroeconomics"
"monetary economics" -- "macroeconomics"
"monetary economics" -- "payment systems"
"monetary economics" -- "macroeconomic theory"
"humanitarian intervention" -- "human rights"
"energy consumption" -- "rebound effect"
"energy consumption" -- "energy policy"
"stochastic dominance" -- "portfolio management"
"romance philology" -- "medieval literature"
"ecc" -- "electronic voting"
"ndt" -- "thermography"
"ndt" -- "ultrasonics"
"beni culturali" -- "ecologia"
"reputation" -- "trust"
"innovation studies" -- "economic geography"
"celebrity" -- "cultural studies"
"aerosol chemistry" -- "atmospheric chemistry"
"in vivo imaging" -- "ensemble learning"
"time use" -- "gender"
"time use" -- "cultural values"
"biomembranes" -- "biophysics"
"piezoelectric" -- "energy harvesting"
"piezoelectric" -- "pyroelectricity"
"piezoelectric" -- "electroceramics"
"piezoelectric" -- "ferroelectrics"
"piezoelectric" -- "triboelectric"
"triple helix" -- "innovation"
"taxonomy" -- "systematics"
"taxonomy" -- "coleoptera"
"taxonomy" -- "systematic botany"
"taxonomy" -- "molecular phylogeny"
"taxonomy" -- "meiofauna"
"taxonomy" -- "malacology"
"mediterranean diet" -- "nutrition"
"laser materials" -- "laser material processing"
"parliaments" -- "political parties"
"adjuvant" -- "vaccines"
"mendelian randomization" -- "cardiovascular disease"
"mendelian randomization" -- "instrumental variables"
"super-resolution microscopy" -- "biophysics"
"geologia" -- "paleontologia"
"geologia" -- "sedymentologia"
"geologia" -- "hidrogeologia"
"geologia" -- "geotectônica"
"geologia" -- "geoturystyka"
"geologia" -- "geochimica"
"geologia" -- "geomorfologia"
"geologia" -- "scienze della terra"
"geologia" -- "górnictwo"
"geologia" -- "geociências"
"geologia" -- "cosmologia"
"geologia" -- "gis"
"geologia" -- "geoquímica"
"geologia" -- "geologia applicata"
"entrainment" -- "lighting"
"fault-tolerant computing" -- "computer arithmetic"
"retinal physiology" -- "circadian biology"
"simulation modeling" -- "operations research"
"bio-inspired design" -- "robotics"
"ercp" -- "eus"
"ercp" -- "endoscopy"
"computational condensed matter physics" -- "density functional theory"
"bridges" -- "concrete"
"global hydrology" -- "gis"
"ecologia de peixes" -- "limnologia"
"ecologia de peixes" -- "pesca"
"water quality engineering" -- "environmental chemistry"
"code analysis" -- "software reliability"
"functional gastrointestinal disorders" -- "gastroenterology"
"comic books" -- "diplomacy"
"protein x-ray crystallography" -- "structural biology"
"transplantation" -- "immunology"
"transplantation" -- "renal"
"transplantation" -- "organ donation"
"transplantation" -- "liver surgery"
"transplantation" -- "hepatobiliary surgery"
"transplantation" -- "nephrology"
"transplantation" -- "cmv"
"chimica inorganica" -- "scienza dei materiali"
"squid" -- "observational cosmology"
"chronic disease management" -- "obesity"
"time" -- "memory"
"time" -- "temporality"
"project planning" -- "project management"
"market structure" -- "marketing research"
"many-core systems" -- "embedded systems"
"strongly correlated electron systems" -- "experimental condensed matter physics"
"strongly correlated electron systems" -- "superconductivity"
"contabilidad" -- "responsabilidad social"
"contabilidad" -- "meio ambiente"
"contabilidad" -- "administração"
"contabilidad" -- "auditoria"
"contabilidad" -- "controladoria"
"ece" -- "microwave imaging"
"terminologie" -- "artificial inteligence"
"terminologie" -- "traitement automatique des langues"
"foundations of quantum physics" -- "mathematical physics"
"multiscale modeling" -- "cell mechanobiology"
"multiscale modeling" -- "nonequilibrium phenomena"
"multiscale modeling" -- "computational mechanics"
"multiscale modeling" -- "computational fracture mechanics"
"multiscale modeling" -- "crystal plasticity"
"multiscale modeling" -- "unconventional oil"
"multiscale modeling" -- "mechanics of soft materials"
"multiscale modeling" -- "vascular biomechanics"
"multiscale modeling" -- "density functional theory (dft)"
"multiscale modeling" -- "thermoelasticity"
"plant signalling" -- "plant biology"
"egyptology" -- "archaeology"
"healthcare systems engineering" -- "quality engineering"
"experimental techniques" -- "coastal engineering"
"electric vehicles" -- "battery management systems"
"electric vehicles" -- "smart grid"
"electric vehicles" -- "v2g"
"electric vehicles" -- "wind power generation"
"basic science" -- "blood pressure regulation"
"peers" -- "delinquency"
"viral ecology" -- "metagenomics"
"constructal theory" -- "thermal management"
"coral reef ecology" -- "conservation biology"
"coral reef ecology" -- "coral biology"
"visual anthropology" -- "anthropology"
"visual anthropology" -- "urban anthropology"
"reproductive epidemiology" -- "epidemiology"
"addiction psychiatry" -- "history of medicine"
"school design" -- "environmental design"
"youth studies" -- "sociology"
"aerospace" -- "control"
"aerospace" -- "aeronautics"
"statistical hydrology" -- "climate change"
"vygotsky" -- "science education"
"international macroeconomics" -- "macroeconomics"
"knee osteoarthritis" -- "biomechanics"
"muscle function" -- "disease"
"human-machine interfaces" -- "robotics"
"bioinorganic" -- "inorganic chemistry"
"cytotoxicity" -- "mab production"
"information policy" -- "information science"
"sea level" -- "climate change"
"sea level" -- "glacial isostatic adjustment"
"cardiovascular sciences" -- "molecular biology"
"vaccinology" -- "immunology"
"vaccinology" -- "infection immunity"
"skin aging" -- "biosensors"
"documentación" -- "information science"
"fret" -- "protein clustering"
"fret" -- "biophysics"
"fret" -- "single molecule fluorescence"
"political psychology" -- "experiments"
"political psychology" -- "public opinion"
"political psychology" -- "partisanship"
"political psychology" -- "social psychology"
"political psychology" -- "experimental methods"
"survey sampling" -- "nonparametric regression"
"survey sampling" -- "statistics"
"intercultural learning" -- "intercultural communication"
"deposition" -- "particle dispersion"
"deposition" -- "energy"
"russian literature" -- "culture"
"russian literature" -- "dostoevsky"
"russian literature" -- "russian culture"
"functional neurosurgery" -- "neurosurgery"
"microfinance" -- "development economics"
"food justice" -- "food sovereignty"
"hyperspectral image analysis" -- "image processing"
"work environment" -- "return to work"
"biomateriales" -- "ingeniería de tejidos"
"perinatology" -- "gynecology"
"bioinspired materials" -- "biomaterials"
"literatura medieval" -- "filología románica"
"literatura medieval" -- "historia cultural"
"literatura medieval" -- "humanismo"
"matematik" -- "bilgisayar"
"matematik" -- "istatistik"
"stellar astrophysics" -- "exoplanets"
"eresearch" -- "cognitive computing"
"political theory" -- "democracy"
"political theory" -- "turkish politics"
"political theory" -- "democratic theory"
"political theory" -- "history of political thought"
"political theory" -- "liberalism"
"political theory" -- "political philosophy"
"humanidades digitales" -- "literatura"
"object" -- "face recognition"
"organic matter" -- "nutrient cycling"
"interactive surfaces" -- "human-computer interaction"
"advanced ceramics" -- "nanomaterials"
"climate change policy" -- "energy policy"
"rheology" -- "polymer solutions"
"rheology" -- "soft solids"
"rheology" -- "viscosity"
"rheology" -- "sludge"
"rheology" -- "magnetorheology"
"rheology" -- "polymers"
"rheology" -- "clay"
"rheology" -- "polymer blends"
"rheology" -- "polymer processing"
"rheology" -- "scc"
"rheology" -- "viscoelasticity"
"rheology" -- "hydrocolloids"
"rheology" -- "interfacial rheology"
"rheology" -- "ionomer"
"rheology" -- "suspensions"
"rheology" -- "brownian dynamics"
"rheology" -- "complex fluids"
"rheology" -- "food colloids"
"rheology" -- "non-newtonian fluid mechanics"
"internationalization" -- "international business"
"granular flow" -- "fluid mechanics"
"biomedical text mining" -- "natural language processing"
"sistemas complexos" -- "radiobiologia"
"sistemas complexos" -- "gestão do conhecimento"
"psychotherapy" -- "clinical psychology"
"psychotherapy" -- "professional ethics"
"psychotherapy" -- "counseling"
"ndt e" -- "photoacoustics"
"world heritage" -- "heritage"
"design" -- "craft"
"design" -- "artes visuais"
"design" -- "emotional design"
"design" -- "usabilidade"
"design" -- "durability of concrete"
"design" -- "prototipagem rápida"
"design" -- "point of care testing"
"design" -- "ergonomia"
"design" -- "systems analysis"
"design" -- "design for sustainable behaviour"
"design" -- "computação evolutiva"
"design" -- "illustration"
"design" -- "packaging"
"design" -- "supply chain network"
"design" -- "user-centred design"
"design" -- "analysis of algorithms"
"design" -- "tecnologia assistiva"
"design" -- "design management"
"design" -- "test automation"
"design" -- "web navigation"
"design" -- "architecture"
"design" -- "decision support tools"
"design" -- "manufacturing"
"design" -- "antenna theory"
"design" -- "materiali"
"design" -- "practice-led research"
"design" -- "product design"
"design" -- "innovation"
"design" -- "community planning"
"design" -- "participatory systems"
"design" -- "typography"
"design" -- "visual representation"
"design" -- "têxtil"
"xenobiotics" -- "food chemistry"
"collaboration technologies" -- "human-computer interaction"
"digital culture" -- "social media"
"digital culture" -- "cultural informatics"
"global climate change" -- "sustainability"
"neuroimaging" -- "morphometry"
"neuroimaging" -- "independent component analysis"
"neuroimaging" -- "behavioral neurology"
"neuroimaging" -- "brain development"
"neuroimaging" -- "kunstmatige intelligentie"
"neuroimaging" -- "neuromodulation"
"neuroimaging" -- "diffusion tensor imaging"
"neuroimaging" -- "brain connectivity"
"neuroimaging" -- "neurocognition"
"neuroimaging" -- "affective disorders"
"neuroimaging" -- "clinical neuroscience"
"neuroimaging" -- "brain networks"
"neuroimaging" -- "entropy"
"neuroimaging" -- "brain plasticity"
"neuroimaging" -- "multivariate pattern analysis"
"neuroimaging" -- "tumor imaging"
"neuroimaging" -- "affective processes"
"neuroimaging" -- "striatum"
"neuroimaging" -- "translational psychiatry"
"neuroimaging" -- "diffusion mri"
"neuroimaging" -- "cerebrospinal fluid"
"neuroimaging" -- "body perception"
"neuroimaging" -- "action perception"
"neuroimaging" -- "schizophrenia"
"neuroimaging" -- "neuroscience"
"neuroimaging" -- "mdd"
"cerebral circulation" -- "stroke"
"indoor navigation" -- "computer vision"
"indoor navigation" -- "cooperative localization"
"computerized adaptive testing" -- "item response theory"
"testosterone" -- "oxytocin"
"intertemporal choice" -- "decision making"
"ghrelin" -- "obesity"
"chronic disease epidemiology" -- "prevention"
"classical reception" -- "comparative literature"
"erasure codes" -- "distributed systems"
"dreaming" -- "analytical psychology"
"dreaming" -- "sleep"
"artificial intelligence" -- "expert systems"
"artificial intelligence" -- "intelligent tutoring"
"artificial intelligence" -- "formation damage"
"artificial intelligence" -- "constraint reasoning"
"artificial intelligence" -- "computational game theory"
"artificial intelligence" -- "player modeling"
"artificial intelligence" -- "semantic web"
"artificial intelligence" -- "spatial reasoning"
"artificial intelligence" -- "interactive storytelling"
"artificial intelligence" -- "agents"
"artificial intelligence" -- "ai planning"
"artificial intelligence" -- "nonmonotonic reasoning"
"artificial intelligence" -- "machine leaning"
"artificial intelligence" -- "uncertainty management"
"artificial intelligence" -- "inductive programming"
"artificial intelligence" -- "rehabilitation technologies"
"artificial intelligence" -- "combinatorial search"
"artificial intelligence" -- "case-based reasoning"
"artificial intelligence" -- "planning"
"artificial intelligence" -- "logic"
"artificial intelligence" -- "swarm intelligence"
"artificial intelligence" -- "developmental robotics"
"artificial intelligence" -- "knowledge engineering"
"artificial intelligence" -- "cognitive agents"
"artificial intelligence" -- "human-agent interaction"
"artificial intelligence" -- "probabilistic programming"
"artificial intelligence" -- "conversational agents"
"artificial intelligence" -- "computability theory"
"artificial intelligence" -- "decision making under uncertainty"
"artificial intelligence" -- "probabilistic inference"
"artificial intelligence" -- "knowledge acquisition"
"artificial intelligence" -- "intelligent agents"
"artificial intelligence" -- "optimization techniques"
"artificial intelligence" -- "evolutionary algorithms"
"artificial intelligence" -- "computer science"
"artificial intelligence" -- "qualitative reasoning"
"artificial intelligence" -- "cognitive science"
"artificial intelligence" -- "sketch recognition"
"artificial intelligence" -- "probabilistic reasoning"
"artificial intelligence" -- "heuristic search"
"artificial intelligence" -- "human-computer interaction"
"artificial intelligence" -- "imprecise probabilities"
"artificial intelligence" -- "pricing theory"
"artificial intelligence" -- "service robotics"
"artificial intelligence" -- "semantic technologies"
"artificial intelligence" -- "uncertain reasoning"
"artificial intelligence" -- "web service composition"
"artificial intelligence" -- "evolutionary computation"
"artificial intelligence" -- "automated planning"
"artificial intelligence" -- "multi-agent systems"
"artificial intelligence" -- "argumentation"
"artificial intelligence" -- "evolutionary robotics"
"artificial intelligence" -- "logic programming"
"artificial intelligence" -- "planning under uncertainty"
"artificial intelligence" -- "neuroevolution"
"artificial intelligence" -- "intelligent control systems"
"artificial intelligence" -- "temporal reasoning"
"artificial intelligence" -- "rough sets"
"artificial intelligence" -- "fuzzy logic"
"artificial intelligence" -- "natural language understanding"
"artificial intelligence" -- "computational creativity"
"artificial intelligence" -- "legal reasoning"
"artificial intelligence" -- "game ai"
"artificial intelligence" -- "uncertain programming"
"artificial intelligence" -- "constraint satisfaction"
"artificial intelligence" -- "machine vision"
"artificial intelligence" -- "generative art"
"artificial intelligence" -- "game design"
"artificial intelligence" -- "electronics manufacturing"
"artificial intelligence" -- "cognitive robotics"
"artificial intelligence" -- "procedural content generation"
"artificial intelligence" -- "knowledge-based systems"
"artificial intelligence" -- "digital games"
"artificial intelligence" -- "computer games"
"artificial intelligence" -- "constraint programming"
"artificial intelligence" -- "embodied conversational agents"
"artificial intelligence" -- "satisfiability"
"artificial intelligence" -- "knowledge representation"
"artificial intelligence" -- "cognitive modeling"
"artificial intelligence" -- "video games"
"artificial intelligence" -- "interactive narrative"
"artificial intelligence" -- "machine learning"
"artificial intelligence" -- "agent systems"
"artificial intelligence" -- "ambient intelligence"
"artificial intelligence" -- "automated theorem proving"
"artificial intelligence" -- "rule-based systems"
"artificial intelligence" -- "natural language"
"artificial intelligence" -- "empirical algorithmics"
"artificial intelligence" -- "answer set programming"
"artificial intelligence" -- "artificial neural networks"
"artificial intelligence" -- "artificial life"
"artificial intelligence" -- "business rules"
"artificial intelligence" -- "particle swarm optimization"
"artificial intelligence" -- "cognitive architectures"
"artificial intelligence" -- "genetic programming"
"artificial intelligence" -- "production optimization"
"artificial intelligence" -- "virtual organizations"
"artificial intelligence" -- "soft computing"
"artificial intelligence" -- "elementary particles"
"artificial intelligence" -- "robot ethics"
"artificial intelligence" -- "automated reasoning"
"artificial intelligence" -- "autonomous agents"
"artificial intelligence" -- "monte carlo tree search"
"artificial intelligence" -- "intelligent tutoring systems"
"artificial intelligence" -- "ambient assisted living"
"artificial intelligence" -- "games"
"artificial intelligence" -- "computational social choice"
"artificial intelligence" -- "computing with words"
"artificial intelligence" -- "knowledge modeling"
"artificial intelligence" -- "computer hardware"
"artificial intelligence" -- "optimisation"
"artificial intelligence" -- "genetic algorithms"
