"geomicrobiology" -- "biogeochemistry"
"ubiquitous computing" -- "activity recognition"
"ubiquitous computing" -- "pervasive"
"ubiquitous computing" -- "mobile computing"
"ubiquitous computing" -- "context-aware computing"
"ubiquitous computing" -- "context awareness"
"ubiquitous computing" -- "human-computer interaction"
"ubiquitous computing" -- "hci"
"technology studies" -- "medical sociology"
"technology studies" -- "economic sociology"
"technology studies" -- "science"
"social capital" -- "social networks"
"himalaya" -- "tectonics"
"auditing" -- "financial accounting"
"auditing" -- "fraud"
"auditing" -- "corporate governance"
"nanophotonics" -- "optical sensing"
"nanophotonics" -- "surface plasmon"
"nanophotonics" -- "plasmonics"
"smart grid" -- "pmu"
"smart grid" -- "demand response"
"smart grid" -- "distributed energy resources"
"smart grid" -- "demand side management"
"smart grid" -- "power system reliability"
"smart grid" -- "power line communications"
"smart grid" -- "power systems"
"smart grid" -- "smart buildings"
"smart grid" -- "power system economics"
"optical fiber sensors" -- "fiber optics"
"flames" -- "combustion"
"environmental management" -- "sustainable development"
"higher education" -- "international education"
"higher education" -- "college students"
"higher education" -- "community colleges"
"higher education" -- "student development"
"higher education" -- "student affairs"
"higher education" -- "college access"
"higher education" -- "teaching"
"strategy" -- "international business"
"strategy" -- "entrepreneurship"
"environmental health" -- "occupational"
"environmental health" -- "air pollution"
"environmental health" -- "risk assessment"
"bioenergetics" -- "mitochondria"
"nonlinear waves" -- "solitons"
"public space" -- "urban design"
"skeletal muscle physiology" -- "exercise physiology"
"ndt" -- "ultrasonics"
"real-time embedded systems" -- "cyber-physical systems"
"game design" -- "serious games"
"game design" -- "game studies"
"astroparticle physics" -- "neutrino physics"
"astroparticle physics" -- "dark matter"
"astroparticle physics" -- "cosmic rays"
"galaxy evolution" -- "astrophysics"
"ocean modeling" -- "physical oceanography"
"ocean modeling" -- "data assimilation"
"geometry" -- "topology"
"penology" -- "criminology"
"society" -- "internet"
"society" -- "law"
"health management" -- "prognostics"
"nephrology" -- "transplantation"
"nephrology" -- "internal medicine"
"nephrology" -- "dialysis"
"systems engineering" -- "engineering design"
"systems engineering" -- "design theory"
"systems engineering" -- "system architecture"
"behavioral economics" -- "experimental"
"behavioral economics" -- "experimental economics"
"behavioral economics" -- "economic psychology"
"behavioral economics" -- "field experiments"
"parallel" -- "distributed computing"
"vortex dynamics" -- "fluid mechanics"
"knowledge organization" -- "information science"
"acoustic metamaterials" -- "phononic crystals"
"glaucoma" -- "neuroprotection"
"glaucoma" -- "ophthalmology"
"refugee law" -- "human rights"
"place" -- "space"
"environmental history" -- "history of science"
"cell death" -- "autophagy"
"cell death" -- "signal transduction"
"hearing" -- "audiology"
"hearing" -- "auditory neuroscience"
"derecho civil" -- "private law"
"systems neuroscience" -- "computational neuroscience"
"cancer imaging" -- "molecular imaging"
"positioning" -- "navigation"
"neuromodulation" -- "deep brain stimulation"
"neuromodulation" -- "brain stimulation"
"agent-based modeling" -- "social simulation"
"agent-based modeling" -- "simulation"
"international organizations" -- "global governance"
"limnology" -- "zooplankton"
"limnology" -- "aquatic ecology"
"limnology" -- "paleolimnology"
"limnology" -- "arctic"
"brown adipose tissue" -- "obesity"
"formación del profesorado" -- "educación"
"microbial fuel cell" -- "bioelectrochemistry"
"microbial fuel cell" -- "bioelectrochemical systems"
"health insurance" -- "health economics"
"neuroimmunology" -- "microglia"
"neuroimmunology" -- "multiple sclerosis"
"neuroimmunology" -- "autoimmunity"
"fluid-structure interaction" -- "computational fluid dynamics"
"system security" -- "web security"
"drylands" -- "geomorphology"
"pricing" -- "marketing"
"pricing" -- "revenue management"
"environmental risk assessment" -- "ecotoxicology"
"mesh generation" -- "computational geometry"
"organizational change" -- "leadership"
"organizational change" -- "organizational communication"
"aquaculture" -- "fish nutrition"
"aquaculture" -- "fisheries"
"aquaculture" -- "fish biology"
"aquaculture" -- "fish physiology"
"interest groups" -- "political parties"
"interest groups" -- "lobbying"
"print culture" -- "book history"
"dementia" -- "caregiving"
"dementia" -- "aging"
"dementia" -- "long-term care"
"dementia" -- "alzheimer s disease"
"dementia" -- "neuropsychology"
"scientific computing" -- "computational finance"
"scientific computing" -- "numerical analysis"
"scientific computing" -- "numerical linear algebra"
"probabilistic programming" -- "artificial intelligence"
"rock deformation" -- "structural geology"
"metacognition" -- "memory"
"metacognition" -- "self-regulated learning"
"ferroelectrics" -- "piezoelectric"
"ferroelectrics" -- "multiferroics"
"consumer behavior" -- "judgment"
"consumer behavior" -- "sport marketing"
"consumer behavior" -- "services marketing"
"consumer behavior" -- "marketing"
"consumer behavior" -- "food marketing"
"consumer psychology" -- "advertising"
"moral philosophy" -- "political philosophy"
"neuromorphic computing" -- "vlsi"
"neuromorphic computing" -- "memristor"
"theoretical ecology" -- "community ecology"
"theoretical ecology" -- "population biology"
"tracking" -- "localization"
"tracking" -- "navigation"
"tracking" -- "object detection"
"psychology of religion" -- "spirituality"
"library instruction" -- "information literacy"
"metabolic syndrome" -- "obesity"
"structural health monitoring" -- "acoustic emission"
"structural health monitoring" -- "structural dynamics"
"structural health monitoring" -- "wireless sensors"
"structural health monitoring" -- "smart structures"
"structural health monitoring" -- "nondestructive evaluation"
"structural health monitoring" -- "ultrasonics"
"structural health monitoring" -- "system identification"
"structural health monitoring" -- "damage detection"
"medical geography" -- "gis"
"medical geography" -- "spatial epidemiology"
"academic librarianship" -- "information literacy"
"technology strategy" -- "entrepreneurship"
"geocomputation" -- "gis"
"flamingo project" -- "network management"
"cultural evolution" -- "language evolution"
"cultural evolution" -- "human behavioral ecology"
"cultural evolution" -- "social learning"
"paleobiology" -- "macroevolution"
"paleobiology" -- "paleontology"
"paleobiology" -- "vertebrate paleontology"
"health communication" -- "interpersonal communication"
"health communication" -- "persuasion"
"health communication" -- "narrative persuasion"
"health communication" -- "risk communication"
"health communication" -- "media effects"
"health communication" -- "health literacy"
"ore deposits" -- "mineralogy"
"ore deposits" -- "fluid inclusions"
"multiscale modeling" -- "computational mechanics"
"sensor fusion" -- "navigation"
"water reuse" -- "wastewater treatment"
"additive manufacturing" -- "rapid prototyping"
"additive manufacturing" -- "selective laser melting"
"additive manufacturing" -- "cam"
"recreation" -- "leisure"
"recreation" -- "parks"
"malacology" -- "taxonomy"
"strategic communication" -- "corporate communication"
"strategic communication" -- "public relations"
"alcohol" -- "tobacco"
"alcohol" -- "addiction"
"alcohol" -- "smoking"
"alcohol" -- "drug"
"private law" -- "law"
"hadron physics" -- "nuclear physics"
"meteoritics" -- "planetary science"
"web development" -- "software engineering"
"argumentation" -- "rhetoric"
"medical robotics" -- "haptics"
"gangs" -- "policing"
"fem" -- "dem"
"neural networks" -- "machine learning"
"solidification" -- "welding"
"solidification" -- "casting"
"graph theory" -- "algorithms"
"graph theory" -- "combinatorics"
"graph theory" -- "discrete mathematics"
"graph theory" -- "linear algebra"
"bayesian statistics" -- "monte carlo methods"
"bayesian statistics" -- "mcmc"
"bayesian statistics" -- "spatial statistics"
"bayesian statistics" -- "variable selection"
"bayesian statistics" -- "computational statistics"
"data integration" -- "semantic web"
"computational linguistics" -- "natural language processing"
"computational linguistics" -- "corpus linguistics"
"computational linguistics" -- "distributional semantics"
"computational linguistics" -- "computational semantics"
"computational linguistics" -- "lexical semantics"
"birth outcomes" -- "pregnancy"
"delinquency" -- "juvenile justice"
"delinquency" -- "crime"
"public opinion" -- "american politics"
"public opinion" -- "political participation"
"public opinion" -- "political behaviour"
"automated planning" -- "artificial intelligence"
"atom optics" -- "quantum optics"
"historical ecology" -- "archaeology"
"mobile systems" -- "wireless networks"
"atmosphere" -- "climate dynamics"
"traffic flow theory" -- "intelligent transportation systems"
"synthesis" -- "verification"
"synthesis" -- "characterization"
"corrosion" -- "electrochemistry"
"corrosion" -- "coatings"
"health physics" -- "medical physics"
"neurogenesis" -- "epilepsy"
"publicidad" -- "periodismo"
"islet biology" -- "diabetes"
"cell cycle" -- "dna replication"
"cell cycle" -- "mitosis"
"urban regeneration" -- "urban planning"
"epilepsy" -- "seizures"
"epilepsy" -- "eeg"
"epilepsy" -- "child neurology"
"quantum technologies" -- "quantum optics"
"devices" -- "semiconductor physics"
"devices" -- "electronic materials"
"devices" -- "optoelectronic materials"
"devices" -- "semiconductor materials"
"population health" -- "social epidemiology"
"genomic imprinting" -- "epigenetics"
"fracture" -- "damage"
"fracture" -- "adhesion"
"fracture" -- "fatigue"
"electronic packaging" -- "reliability"
"power converters" -- "power electronics"
"polymer chemistry" -- "organic chemistry"
"motor learning" -- "motor control"
"eeg" -- "fmri"
"eeg" -- "erp"
"eeg" -- "brain computer interface"
"eeg" -- "ecg"
"eeg" -- "bci"
"eeg" -- "meg"
"chemoinformatics" -- "molecular modeling"
"medicine" -- "biology"
"rechargeable batteries" -- "electrochemistry"
"microwave photonics" -- "optical communications"
"food systems" -- "sustainability"
"neuro-oncology" -- "neurosurgery"
"neuro-oncology" -- "neurological surgery"
"sociology of education" -- "education policy"
"sociology of education" -- "social stratification"
"neuroendocrinology" -- "reproductive endocrinology"
"child nutrition" -- "maternal"
"public choice" -- "political economy"
"lasers" -- "nonlinear optics"
"lasers" -- "accelerators"
"lasers" -- "optics"
"superconductors" -- "topological insulators"
"combustion" -- "laser diagnostics"
"combustion" -- "cfd"
"combustion" -- "internal combustion engines"
"combustion" -- "alternative fuels"
"combustion" -- "propulsion"
"combustion" -- "gas turbines"
"combustion" -- "explosion"
"combustion" -- "gasification"
"combustion" -- "fuels"
"combustion" -- "thermoacoustics"
"combustion" -- "energetic materials"
"combustion" -- "soot"
"combustion" -- "chemical kinetics"
"rnai" -- "microrna"
"ai" -- "nlp"
"altmetrics" -- "scholarly communication"
"altmetrics" -- "open access"
"altmetrics" -- "bibliometrics"
"geometric modeling" -- "computer graphics"
"geometric modeling" -- "cam"
"polyoxometalates" -- "catalysis"
"methylation" -- "epigenetics"
"membrane traffic" -- "cell biology"
"vehicle routing" -- "metaheuristics"
"muscle" -- "exercise"
"nonlinear circuits" -- "systems"
"radiation protection" -- "medical physics"
"spatial modeling" -- "gis"
"global justice" -- "political philosophy"
"mechanism design" -- "algorithmic game theory"
"mechanism design" -- "auction theory"
"metasurfaces" -- "metamaterials"
"economic geography" -- "innovation studies"
"economic geography" -- "urban economics"
"economic geography" -- "regional development"
"economic geography" -- "evolutionary economics"
"economic geography" -- "regional science"
"economic geography" -- "political geography"
"economic geography" -- "evolutionary economic geography"
"ubicomp" -- "hci"
"artificial life" -- "complex systems"
"artificial life" -- "evolutionary robotics"
"artificial life" -- "evolutionary computation"
"plant breeding" -- "genetics"
"plant breeding" -- "plant genetics"
"photogrammetry" -- "remote sensing"
"photogrammetry" -- "geomatics"
"photogrammetry" -- "cultural heritage"
"photogrammetry" -- "3d modeling"
"communication theory" -- "information theory"
"communication theory" -- "wireless communications"
"stigma" -- "prejudice"
"animal cognition" -- "comparative cognition"
"animal cognition" -- "animal behaviour"
"marine protected areas" -- "fisheries"
"interventional cardiology" -- "cardiology"
"interventional cardiology" -- "structural heart disease"
"cosmology" -- "inflation"
"cosmology" -- "particle physics"
"cosmology" -- "reionization"
"cosmology" -- "gravity"
"cosmology" -- "modified gravity"
"cosmology" -- "dark matter"
"cosmology" -- "extragalactic astronomy"
"cosmology" -- "galaxy formation"
"cosmology" -- "large scale structure"
"cosmology" -- "astrophysics"
"cosmology" -- "cosmic microwave background"
"cosmology" -- "theoretical particle physics"
"cosmology" -- "epoch of reionization"
"cosmology" -- "particle astrophysics"
"medical biochemistry" -- "molecular biology"
"active transportation" -- "built environment"
"visual computing" -- "computer graphics"
"running" -- "biomechanics"
"personnel economics" -- "organizational economics"
"personnel economics" -- "labor economics"
"filosofía" -- "sociología"
"filosofía" -- "ética"
"guidance" -- "navigation"
"guidance" -- "control"
"archaeobotany" -- "environmental archaeology"
"channelopathies" -- "ion channels"
"verification" -- "formal methods"
"verification" -- "testing"
"verification" -- "automated reasoning"
"verification" -- "validation"
"risk perception" -- "risk communication"
"social relationships" -- "aging"
"international macroeconomics" -- "macroeconomics"
"toxicology" -- "clinical chemistry"
"toxicology" -- "pharmacology"
"health disparities" -- "minority health"
"health disparities" -- "health behavior"
"health disparities" -- "social determinants of health"
"health disparities" -- "african american"
"venture capital" -- "corporate finance"
"venture capital" -- "entrepreneurship"
"venture capital" -- "private equity"
"high energy density physics" -- "inertial confinement fusion"
"ética" -- "bioética"
"general practice" -- "primary care"
"porous materials" -- "metal-organic frameworks"
"porous materials" -- "adsorption"
"circadian rhythms" -- "melatonin"
"circadian rhythms" -- "sleep"
"circadian rhythms" -- "chronobiology"
"embedded systems" -- "real-time"
"embedded systems" -- "hardware design"
"embedded systems" -- "hw"
"embedded systems" -- "reconfigurable architectures"
"embedded systems" -- "system on chip"
"embedded systems" -- "computer architecture"
"embedded systems" -- "hardware"
"embedded systems" -- "system-level design"
"embedded systems" -- "real-time systems"
"embedded systems" -- "design automation"
"economics of aging" -- "health economics"
"exercise" -- "physical activity"
"exercise" -- "sports science"
"exercise" -- "training"
"exercise" -- "fitness"
"chemical" -- "biological engineering"
"chemical" -- "environmental engineering"
"molecular imaging" -- "nuclear medicine"
"molecular imaging" -- "contrast agents"
"microbial genomics" -- "microbial evolution"
"microbial genomics" -- "metagenomics"
"metal forming" -- "thermomechanical processing"
"dft" -- "catalysis"
"capital structure" -- "mergers"
"otolaryngology" -- "head"
"neuroeconomics" -- "decision making"
"memristor" -- "rram"
"nonlinear analysis" -- "differential equations"
"nonlinear analysis" -- "partial differential equations"
"mobile communication" -- "wireless"
"cell therapy" -- "gene therapy"
"cell therapy" -- "regenerative medicine"
"treatment" -- "depression"
"dimensionality reduction" -- "machine learning"
"urban informatics" -- "human-computer interaction"
"serious games" -- "gamification"
"condensed matter" -- "superconductivity"
"condensed matter" -- "materials physics"
"power systems" -- "distribution networks"
"power systems" -- "power electronics"
"power systems" -- "high voltage"
"power systems" -- "electrical engineering"
"literary theory" -- "modernism"
"literary theory" -- "american literature"
"literary theory" -- "comparative literature"
"information-centric networking" -- "computer networks"
"web 2.0" -- "e-learning"
"financial econometrics" -- "asset pricing"
"financial econometrics" -- "econometric theory"
"financial econometrics" -- "time series"
"differential privacy" -- "privacy"
"radio astronomy" -- "astrophysics"
"mimo" -- "ofdm"
"mimo" -- "wireless communications"
"mimo" -- "cooperative communications"
"cancer prevention" -- "tobacco control"
"biomaterials" -- "biointerfaces"
"biomaterials" -- "drug delivery"
"biomaterials" -- "bone repair"
"biomaterials" -- "stem cell engineering"
"biomaterials" -- "nanomedicine"
"biomaterials" -- "drug delivery systems"
"biomaterials" -- "surface modification"
"biomaterials" -- "stem cells"
"biomaterials" -- "polymers"
"biomaterials" -- "biodegradable polymers"
"biomaterials" -- "gene delivery"
"biomaterials" -- "bioengineering"
"biomaterials" -- "dental materials"
"biomaterials" -- "bioceramics"
"biomaterials" -- "biocompatibility"
"biomaterials" -- "immunoengineering"
"biomaterials" -- "bone tissue engineering"
"biomaterials" -- "extracellular matrix"
"biomaterials" -- "scaffold"
"atmospheric science" -- "meteorology"
"physical chemistry" -- "computational chemistry"
"physical chemistry" -- "photochemistry"
"physical chemistry" -- "chemical physics"
"physical chemistry" -- "time-resolved spectroscopy"
"physical chemistry" -- "spectroscopy"
"physical chemistry" -- "molecular spectroscopy"
"bioelectrochemical systems" -- "wastewater treatment"
"agroecology" -- "ecosystem services"
"graphic design" -- "typography"
"surface" -- "interfaces"
"electronics" -- "photonics"
"coding theory" -- "information theory"
"coding theory" -- "network information theory"
"coding theory" -- "information"
"paleomagnetism" -- "tectonics"
"paleomagnetism" -- "paleogeography"
"paleomagnetism" -- "rock magnetism"
"paleomagnetism" -- "geomagnetism"
"historia del arte" -- "historia"
"alpha-synuclein" -- "parkinson s disease"
"rehabilitation engineering" -- "biomechanics"
"theoretical biology" -- "mathematical biology"
"evolution" -- "genetics"
"evolution" -- "protists"
"evolution" -- "phenotypic plasticity"
"evolution" -- "behavior"
"evolution" -- "ecology"
"evolution" -- "genomics"
"evolution" -- "insects"
"evolution" -- "microbes"
"critical care medicine" -- "anesthesiology"
"environmental psychology" -- "social psychology"
"general surgery" -- "surgical oncology"
"general surgery" -- "pediatric surgery"
"general surgery" -- "vascular surgery"
"adherence" -- "hiv"
"consumer behaviour" -- "social marketing"
"consumer behaviour" -- "marketing"
"pediatrics" -- "neonatology"
"pediatrics" -- "infectious diseases"
"antenna theory" -- "design"
"thermosphere" -- "ionosphere"
"eating behavior" -- "obesity"
"carbon capture" -- "sequestration"
"carbon capture" -- "storage"
"carbon capture" -- "gas separation"
"computer communications" -- "computer networks"
"gentrification" -- "housing"
"gentrification" -- "urban studies"
"ionic liquids" -- "green chemistry"
"ionic liquids" -- "deep eutectic solvents"
"ionic liquids" -- "electrolytes"
"peer-to-peer" -- "distributed systems"
"comparative politics" -- "party politics"
"comparative politics" -- "democratization"
"comparative politics" -- "political parties"
"comparative politics" -- "chinese politics"
"comparative politics" -- "latin american politics"
"comparative politics" -- "european politics"
"comparative politics" -- "political economy of development"
"comparative politics" -- "latin america"
"comparative politics" -- "political economy"
"comparative politics" -- "legislative studies"
"economic evaluation" -- "health economics"
"biochar" -- "pyrolysis"
"halogen bonding" -- "supramolecular chemistry"
"prostate cancer" -- "kidney cancer"
"copyright" -- "open access"
"copyright" -- "patents"
"antiviral" -- "virology"
"lexicology" -- "lexicography"
"drives" -- "power electronics"
"underwater acoustics" -- "signal processing"
"vaccines" -- "immunotherapy"
"vaccines" -- "immunology"
"cooperative communications" -- "cognitive radio networks"
"geovisualization" -- "giscience"
"geovisualization" -- "cartography"
"petrophysics" -- "reservoir characterization"
"petrophysics" -- "rock physics"
"sdn" -- "5g"
"sdn" -- "nfv"
"logistics" -- "material handling"
"logistics" -- "transportation"
"logistics" -- "supply chain"
"logistics" -- "supply chain management"
"brain injury" -- "rehabilitation"
"metamorphic petrology" -- "tectonics"
"tobacco" -- "nicotine"
"dns" -- "turbulence"
"oral surgery" -- "dentistry"
"grief" -- "trauma"
"grief" -- "bereavement"
"intelligent transportation systems" -- "traffic simulation"
"intelligent transportation systems" -- "traffic safety"
"intelligent transportation systems" -- "autonomous vehicles"
"intelligent transportation systems" -- "intelligent vehicles"
"intelligent transportation systems" -- "traffic flow"
"anomaly detection" -- "graph mining"
"immigration" -- "latino"
"immigration" -- "latino politics"
"immigration" -- "ethnicity"
"thermochronology" -- "tectonics"
"protein nmr" -- "structural biology"
"ocean acidification" -- "coral reefs"
"labor" -- "demographic economics"
"labor" -- "migration"
"international development" -- "poverty"
"digital" -- "social media"
"dreaming" -- "sleep"
"theoretical" -- "computational chemistry"
"theoretical" -- "observational cosmology"
"language therapy" -- "speech"
"private international law" -- "comparative law"
"evaluation" -- "monitoring"
"evaluation" -- "assessment"
"marketing" -- "retailing"
"marketing" -- "word of mouth"
"marketing" -- "branding"
"marketing" -- "consumer culture theory"
"marketing" -- "advertising"
"marketing" -- "consumer"
"marketing" -- "services"
"marketing" -- "consumer culture"
"hedge funds" -- "asset pricing"
"philosophy of language" -- "pragmatics"
"philosophy of language" -- "philosophy of logic"
"philosophy of language" -- "metaethics"
"igneous petrology" -- "geochemistry"
"radiation biology" -- "radiation physics"
"health education" -- "health promotion"
"psycholinguistics" -- "cognitive psychology"
"psycholinguistics" -- "language production"
"psycholinguistics" -- "linguistics"
"psycholinguistics" -- "neurolinguistics"
"psycholinguistics" -- "bilingualism"
"psycholinguistics" -- "cognitive science"
"biological oceanography" -- "zooplankton"
"glacier hydrology" -- "glaciology"
"constitutional theory" -- "constitutional law"
"financial reporting" -- "corporate governance"
"nutrigenomics" -- "nutrition"
"nutrigenomics" -- "nutrigenetics"
"transplantation" -- "surgery"
"distributed systems" -- "operating systems"
"distributed systems" -- "cloud computing"
"distributed systems" -- "middleware"
"distributed systems" -- "distributed algorithms"
"distributed systems" -- "fault tolerance"
"distributed systems" -- "p2p"
"distributed systems" -- "computer networks"
"distributed systems" -- "stream processing"
"distributed systems" -- "networks"
"tectonophysics" -- "geodynamics"
"european union" -- "european integration"
"european union" -- "european politics"
"steganography" -- "watermarking"
"steganography" -- "cryptography"
"steganography" -- "information hiding"
"interfaces" -- "colloids"
"vaccine development" -- "immunology"
"planetary atmospheres" -- "exoplanets"
"energy policy" -- "climate policy"
"energy policy" -- "environmental policy"
"energy policy" -- "energy economics"
"molecular physics" -- "atomic"
"care" -- "early childhood education"
"web search" -- "information retrieval"
"wireless networks" -- "ad hoc networks"
"wireless networks" -- "mac"
"wireless networks" -- "cognitive networks"
"wireless networks" -- "vehicular networks"
"wireless networks" -- "mobile computing"
"wireless networks" -- "wireless security"
"wireless networks" -- "sensor networks"
"wireless networks" -- "mac protocols"
"dna replication" -- "dna repair"
"dielectrics" -- "piezoelectric"
"nuclear receptors" -- "metabolism"
"adsorption" -- "separation"
"brain development" -- "neuroimaging"
"multilevel converters" -- "power electronics"
"public budgeting" -- "finance"
"immunity" -- "infection"
"immunity" -- "inflammation"
"document analysis" -- "pattern recognition"
"law" -- "family law"
"law" -- "economics"
"law" -- "courts"
"law" -- "legal education"
"law" -- "contracts"
"gene expression" -- "transcription"
"device physics" -- "organic semiconductors"
"pharmaceutical technology" -- "drug delivery"
"software engineering education" -- "software engineering"
"mixed reality" -- "virtual reality"
"pulsars" -- "neutron stars"
"nanogenerator" -- "energy harvesting"
"radar systems" -- "signal processing"
"computer experiments" -- "statistics"
"seismic engineering" -- "structural engineering"
"travel behavior" -- "transportation planning"
"transistors" -- "solar cells"
"conservation planning" -- "landscape ecology"
"memory management" -- "operating systems"
"nanotoxicology" -- "nanomedicine"
"media policy" -- "media"
"legal philosophy" -- "political philosophy"
"circuits" -- "systems"
"human computation" -- "crowdsourcing"
"buildings" -- "energy"
"taxonomy" -- "systematics"
"taxonomy" -- "zoology"
"ocd" -- "anxiety"
"brain tumors" -- "neurosurgery"
"brain tumors" -- "radiosurgery"
"urban economics" -- "regional"
"urban economics" -- "real estate"
"urban economics" -- "public economics"
"urban economics" -- "spatial economics"
"urban economics" -- "real estate economics"
"convex optimization" -- "convex analysis"
"thermal sciences" -- "nanoscale heat transfer"
"thermal sciences" -- "heat transfer"
"film" -- "television"
"film" -- "literature"
"film" -- "documentary"
"waste management" -- "recycling"
"waste management" -- "industrial ecology"
"damage" -- "plasticity"
"reproductive biology" -- "oocyte"
"reproductive biology" -- "infertility"
"reproductive biology" -- "andrology"
"coal preparation" -- "mineral processing"
"liberalism" -- "political theory"
"cardiovascular imaging" -- "cardiology"
"macromolecular crystallography" -- "structural biology"
"ornithology" -- "conservation biology"
"recommender systems" -- "user modeling"
"recommender systems" -- "data mining"
"recommender systems" -- "information filtering"
"rna biology" -- "virology"
"topological dynamics" -- "ergodic theory"
"biomass" -- "bioenergy"
"biomass" -- "gasification"
"biomass" -- "lignin"
"biomass" -- "pyrolysis"
"star formation" -- "planet formation"
"star formation" -- "interstellar medium"
"behavioural economics" -- "experimental economics"
"bioenergy" -- "biofuels"
"bioenergy" -- "biorefinery"
"biosphere-atmosphere interactions" -- "atmospheric chemistry"
"dna barcoding" -- "biodiversity"
"multilevel modeling" -- "structural equation modeling"
"nk cells" -- "immunology"
"media psychology" -- "media effects"
"media psychology" -- "video games"
"forecasting" -- "time series analysis"
"forecasting" -- "time series"
"conflict resolution" -- "mediation"
"conflict resolution" -- "peacebuilding"
"power integrity" -- "signal integrity"
"archaeological theory" -- "archaeology"
"microwave imaging" -- "computational electromagnetics"
"persuasive technology" -- "hci"
"tax" -- "accounting"
"program evaluation" -- "research methods"
"program evaluation" -- "causal inference"
"lactation" -- "nutrition"
"vlsi" -- "computer architecture"
"vlsi" -- "low power design"
"vlsi" -- "low power"
"transportation safety" -- "traffic operations"
"transportation safety" -- "transportation engineering"
"clinical" -- "health psychology"
"heart" -- "stem cells"
"basal ganglia" -- "dopamine"
"neuroprotection" -- "neurodegeneration"
"panel data" -- "econometrics"
"nanofabrication" -- "plasmonics"
"longitudinal data analysis" -- "survival analysis"
"therapeutics" -- "cancer biology"
"synthetic biology" -- "genome engineering"
"synthetic biology" -- "cell-free protein synthesis"
"synthetic biology" -- "dna nanotechnology"
"synthetic biology" -- "protein engineering"
"shape memory alloys" -- "smart materials"
"shape memory alloys" -- "martensitic transformation"
"augmented reality" -- "virtual reality"
