"teacher professional development" -- "mathematics education"
"electrophysiology" -- "neuroscience"
"development economics" -- "institutional economics"
"development economics" -- "labor economics"
"development economics" -- "impact evaluation"
"development economics" -- "environmental economics"
"development economics" -- "microfinance"
"development economics" -- "chinese economy"
"development economics" -- "political economy"
"carbohydrates" -- "organic chemistry"
"constitutive modeling" -- "computational mechanics"
"fluid flow" -- "heat transfer"
"quantum chemistry" -- "density functional theory"
"quantum chemistry" -- "electronic structure theory"
"quantum chemistry" -- "computational chemistry"
"crop modeling" -- "climate change"
"dye-sensitized solar cells" -- "perovskite solar cells"
"public opinion" -- "political psychology"
"public opinion" -- "voting behavior"
"public opinion" -- "state politics"
"public opinion" -- "political communication"
"public opinion" -- "political behavior"
"public opinion" -- "american politics"
"public opinion" -- "science communication"
"public opinion" -- "elections"
"public opinion" -- "political behaviour"
"organization theory" -- "institutional theory"
"organization theory" -- "entrepreneurship"
"biological control" -- "entomology"
"higher education" -- "international education"
"higher education" -- "learning"
"higher education" -- "quality assurance"
"educational data mining" -- "learning analytics"
"neolithic" -- "archaeology"
"health literacy" -- "health communication"
"animal welfare" -- "animal behaviour"
"distance education" -- "online learning"
"pediatric cardiology" -- "echocardiography"
"rhetoric" -- "composites"
"rhetoric" -- "historiography"
"rhetoric" -- "technical communication"
"latent variable models" -- "psychometrics"
"energy storage systems" -- "power electronics"
"cognitive neuroscience" -- "neuropsychology"
"cognitive neuroscience" -- "attention"
"cognitive neuroscience" -- "experimental psychology"
"cognitive neuroscience" -- "psychology"
"cognitive neuroscience" -- "music cognition"
"cognitive neuroscience" -- "cognitive psychology"
"cognitive neuroscience" -- "visual perception"
"cognitive neuroscience" -- "memory"
"cognitive neuroscience" -- "time perception"
"cognitive neuroscience" -- "affective neuroscience"
"cognitive neuroscience" -- "episodic memory"
"cognitive neuroscience" -- "numerical cognition"
"midwifery" -- "nursing"
"computational physics" -- "condensed matter physics"
"adult education" -- "adult learning"
"adult education" -- "education"
"fem" -- "cfd"
"environmental psychology" -- "social psychology"
"morphogenesis" -- "developmental biology"
"actuators" -- "sensors"
"self-regulation" -- "motivation"
"immigration" -- "urban sociology"
"immigration" -- "race"
"immigration" -- "latino"
"service computing" -- "cloud computing"
"workflows" -- "cloud computing"
"agents" -- "artificial intelligence"
"sedimentology" -- "stratigraphy"
"sedimentology" -- "sequence stratigraphy"
"sedimentology" -- "geology"
"sedimentology" -- "marine geology"
"sedimentology" -- "basin analysis"
"sedimentology" -- "petroleum geology"
"crustal deformation" -- "earthquakes"
"exercise science" -- "sport"
"neural computation" -- "machine learning"
"bioelectrochemical systems" -- "wastewater treatment"
"cancer genomics" -- "bioinformatics"
"nucleic acids" -- "proteins"
"counselor education" -- "counseling"
"cancer" -- "immunology"
"cancer" -- "stem cells"
"cancer" -- "drug resistance"
"cancer" -- "glioblastoma"
"cancer" -- "cell signaling"
"cancer" -- "biomarkers"
"cancer" -- "autophagy"
"cancer" -- "melanoma"
"cancer" -- "drug development"
"cancer" -- "metastasis"
"cancer" -- "lung"
"cancer" -- "apoptosis"
"cancer" -- "targeted therapy"
"cancer" -- "screening"
"cancer" -- "leukemia"
"cancer" -- "liver"
"cancer" -- "genome stability"
"cancer" -- "proteases"
"cancer" -- "microrna"
"cancer" -- "hypoxia"
"cancer" -- "mirna"
"cancer" -- "animal models"
"cancer" -- "cell migration"
"cancer" -- "dna repair"
"cancer" -- "breast cancer"
"cancer" -- "vascular biology"
"cancer" -- "therapy"
"cancer" -- "nuclear receptors"
"cancer" -- "angiogenesis"
"cancer" -- "palliative care"
"diet" -- "nutrition"
"stem cell biology" -- "developmental biology"
"headache" -- "pain"
"headache" -- "migraine"
"medieval studies" -- "digital humanities"
"paleomagnetism" -- "geomagnetism"
"paleomagnetism" -- "tectonics"
"image compression" -- "image processing"
"evolutionary dynamics" -- "complex systems"
"low power" -- "vlsi"
"drug design" -- "medicinal chemistry"
"phylogenomics" -- "bioinformatics"
"critical theory" -- "marxism"
"critical theory" -- "cultural studies"
"exercise" -- "physical activity"
"intrusion detection" -- "network security"
"intelligent control" -- "robotics"
"critical care" -- "pulmonary"
"critical care" -- "anesthesiology"
"medical imaging" -- "computed tomography"
"medical imaging" -- "computer vision"
"medical imaging" -- "mri"
"medical imaging" -- "magnetic resonance imaging"
"medical imaging" -- "ultrasound"
"medical imaging" -- "medical physics"
"multilingualism" -- "bilingualism"
"databases" -- "data mining"
"databases" -- "query processing"
"databases" -- "data quality"
"databases" -- "data integration"
"databases" -- "web"
"databases" -- "data management"
"cognitive behavioral therapy" -- "anxiety"
"social justice" -- "education"
"traumatic brain injury" -- "neuroscience"
"optical sensing" -- "nanophotonics"
"product development" -- "engineering design"
"solid state physics" -- "materials science"
"sol-gel" -- "materials science"
"reinforcement learning" -- "machine learning"
"financial regulation" -- "banking"
"cell mechanics" -- "biophysics"
"alternative splicing" -- "genomics"
"phenology" -- "climate change"
"polymer processing" -- "rheology"
"epigenomics" -- "genomics"
"discrete geometry" -- "combinatorics"
"economic growth" -- "human capital"
"economic growth" -- "macroeconomics"
"latin american literature" -- "culture"
"geochronology" -- "geochemistry"
"geochronology" -- "isotope geochemistry"
"soil microbiology" -- "microbial ecology"
"economic evaluation" -- "health economics"
"poetry" -- "creative writing"
"poetry" -- "american literature"
"meteorology" -- "atmospheric modeling"
"meteorology" -- "climate"
"meteorology" -- "climatology"
"reproduction" -- "endocrinology"
"evidence-based practice" -- "mental health"
"computational economics" -- "macroeconomics"
"indexing" -- "query processing"
"biomechanics" -- "ergonomics"
"biomechanics" -- "finite element analysis"
"biomechanics" -- "bone"
"biomechanics" -- "low back pain"
"biomechanics" -- "anatomy"
"biomechanics" -- "muscle physiology"
"biomechanics" -- "finite element modeling"
"biomechanics" -- "spine"
"biomechanics" -- "mechanobiology"
"biomechanics" -- "knee"
"biomechanics" -- "robotics"
"biomechanics" -- "computational mechanics"
"biomechanics" -- "neuromechanics"
"biomechanics" -- "rehabilitation"
"biomechanics" -- "orthopaedics"
"biomechanics" -- "musculoskeletal modeling"
"biomechanics" -- "orthopedics"
"biomechanics" -- "balance"
"biomechanics" -- "functional morphology"
"biomechanics" -- "gait"
"biomechanics" -- "injury"
"biomechanics" -- "injury prevention"
"biomechanics" -- "muscle"
"biomechanics" -- "gait analysis"
"biomechanics" -- "rehabilitation engineering"
"biomechanics" -- "sports medicine"
"biomechanics" -- "osteoarthritis"
"biomechanics" -- "locomotion"
"solid oxide fuel cells" -- "batteries"
"maintenance" -- "reliability"
"planetary geology" -- "remote sensing"
"sentiment analysis" -- "opinion mining"
"sentiment analysis" -- "natural language processing"
"electronic structure" -- "computational chemistry"
"mars" -- "planetary science"
"atomic physics" -- "quantum optics"
"atomic physics" -- "precision measurement"
"gesture recognition" -- "machine learning"
"antennas" -- "filters"
"antennas" -- "rfid"
"antennas" -- "microwave imaging"
"antennas" -- "metamaterials"
"antennas" -- "electromagnetics"
"antennas" -- "electromagnetic compatibility"
"antennas" -- "propagation"
"antennas" -- "rf circuits"
"antennas" -- "applied electromagnetics"
"antennas" -- "microwave circuits"
"antennas" -- "computational electromagnetics"
"antennas" -- "microwave engineering"
"antennas" -- "microwave"
"nonlinear analysis" -- "partial differential equations"
"multidisciplinary design optimization" -- "aircraft design"
"resuscitation" -- "emergency medicine"
"indoor positioning" -- "machine learning"
"econometrics" -- "economics"
"econometrics" -- "applied economics"
"econometrics" -- "time series"
"econometrics" -- "statistics"
"embryology" -- "developmental biology"
"environmental history" -- "history of science"
"heat transfer" -- "cryogenics"
"heat transfer" -- "refrigeration"
"heat transfer" -- "thermodynamics"
"heat transfer" -- "thermoelectrics"
"heat transfer" -- "cfd"
"heat transfer" -- "fluids"
"heat transfer" -- "thermal management"
"heat transfer" -- "electronics cooling"
"heat transfer" -- "thermal sciences"
"heat transfer" -- "energy technology"
"heat transfer" -- "heat exchangers"
"heat transfer" -- "porous media"
"heat transfer" -- "two-phase flow"
"internal combustion engines" -- "combustion"
"bone" -- "osteoporosis"
"health services research" -- "quality of life"
"health services research" -- "quality of care"
"health services research" -- "health policy"
"physical therapy" -- "rehabilitation"
"policy" -- "education"
"policy" -- "environmental politics"
"ubiquitous computing" -- "human-computer interaction"
"ubiquitous computing" -- "context awareness"
"ubiquitous computing" -- "mobile sensing"
"ubiquitous computing" -- "hci"
"educational measurement" -- "psychometrics"
"risk communication" -- "health communication"
"carbon nanotubes" -- "graphene"
"phononics" -- "thermoelectrics"
"molecular spectroscopy" -- "physical chemistry"
"bioimaging" -- "nanotechnology"
"stable isotopes" -- "biogeochemistry"
"geometry" -- "algebra"
"geometry" -- "topology"
"speaker recognition" -- "machine learning"
"intellectual disability" -- "autism"
"intellectual disability" -- "autism spectrum disorder"
"search" -- "information retrieval"
"sensor fusion" -- "robotics"
"deviance" -- "crime"
"tropical forests" -- "ecology"
"quantum communication" -- "quantum optics"
"physical organic chemistry" -- "computational chemistry"
"continental philosophy" -- "phenomenology"
"wildlife" -- "ecology"
"systems analysis" -- "design"
"family studies" -- "human development"
"working memory" -- "cognitive training"
"working memory" -- "attention"
"reinforced concrete" -- "structural engineering"
"european politics" -- "comparative politics"
"sarcopenia" -- "aging"
"biodiesel" -- "biofuels"
"molecular modeling" -- "computer-aided drug design"
"molecular modeling" -- "computational chemistry"
"coastal engineering" -- "hydraulic engineering"
"coastal engineering" -- "ocean engineering"
"coastal engineering" -- "tsunami"
"coastal engineering" -- "sediment transport"
"coastal engineering" -- "coastal geomorphology"
"seismic" -- "geophysics"
"social determinants of health" -- "health disparities"
"computational photography" -- "computer vision"
"resonators" -- "mems"
"drug delivery" -- "liposomes"
"drug delivery" -- "formulation"
"drug delivery" -- "cancer therapy"
"drug delivery" -- "gene"
"drug delivery" -- "pharmaceutical technology"
"drug delivery" -- "pharmaceutics"
"drug delivery" -- "pharmaceutical sciences"
"drug delivery" -- "nanomedicine"
"drug delivery" -- "photodynamic therapy"
"drug delivery" -- "nanotechnology"
"drug delivery" -- "biomaterials"
"drug delivery" -- "nanoparticles"
"transposable elements" -- "genomics"
"maternal health" -- "public health"
"performance modeling" -- "distributed systems"
"reaction kinetics" -- "heterogeneous catalysis"
"yeast" -- "genetics"
"information processing" -- "signal"
"biogeography" -- "ecology"
"biogeography" -- "macroecology"
"biogeography" -- "species distribution modelling"
"image retrieval" -- "computer vision"
"terahertz spectroscopy" -- "ultrafast spectroscopy"
"modeling" -- "processing"
"modeling" -- "simulation"
"information studies" -- "library"
"international organizations" -- "international relations"
"international macroeconomics" -- "macroeconomics"
"cooperative communications" -- "cognitive radio"
"health promotion" -- "public health"
"public international law" -- "international criminal law"
"public policy" -- "political science"
"public policy" -- "urban politics"
"public policy" -- "policy analysis"
"public policy" -- "public administration"
"public policy" -- "nonprofits"
"public policy" -- "federalism"
"public policy" -- "interest groups"
"public finance" -- "labor economics"
"energy materials" -- "electrochemistry"
"kinematics" -- "robotics"
"wheat" -- "genetics"
"protein dynamics" -- "biophysics"
"evaluation" -- "monitoring"
"evaluation" -- "assessment"
"mycorrhiza" -- "ecology"
"palaeobiology" -- "palaeontology"
"metal oxides" -- "graphene"
"plant ecology" -- "conservation biology"
"environmental microbiology" -- "microbial ecology"
"environmental microbiology" -- "bioremediation"
"statistics" -- "quality control"
"statistics" -- "psychometrics"
"statistics" -- "design of experiments"
"statistics" -- "research methodology"
"statistics" -- "actuarial science"
"statistics" -- "research methods"
"statistics" -- "machine learning"
"statistics" -- "applied probability"
"statistics" -- "forensic science"
"statistics" -- "biostatistics"
"statistics" -- "probability"
"statistics" -- "statistical computing"
"statistics" -- "financial mathematics"
"statistics" -- "bayesian"
"statistics" -- "experimental design"
"statistics" -- "functional data analysis"
"cardiac imaging" -- "cardiology"
"forensic anthropology" -- "biological anthropology"
"cement" -- "concrete"
"science policy" -- "innovation"
"consumer behavior" -- "food marketing"
"consumer behavior" -- "decision making"
"consumer behavior" -- "services marketing"
"consumer behavior" -- "marketing"
"consumer behavior" -- "sport marketing"
"lgbt health" -- "hiv prevention"
"self-assembly" -- "biomaterials"
"self-assembly" -- "block copolymers"
"self-assembly" -- "lithography"
"condition monitoring" -- "fault diagnosis"
"power systems" -- "smart grid"
"power systems" -- "renewable energy"
"power systems" -- "optimization"
"stable isotope geochemistry" -- "paleoclimatology"
"business analytics" -- "data mining"
"computer arithmetic" -- "computer architecture"
"social media marketing" -- "marketing"
"innate immunity" -- "inflammation"
"palynology" -- "palaeobotany"
"palynology" -- "palaeoecology"
"clinical" -- "health psychology"
"multimedia networking" -- "cloud computing"
"forest" -- "remote sensing"
"supply chain management" -- "operations research"
"supply chain management" -- "operations management"
"supply chain management" -- "logistics"
"supply chain management" -- "inventory control"
"supply chain management" -- "operations"
"supply chain management" -- "quality management"
"supply chain management" -- "inventory management"
"supply chain management" -- "procurement"
"computer simulation" -- "materials science"
"life course" -- "aging"
"endocrinology" -- "diabetes"
"spatial cognition" -- "navigation"
"chromatin" -- "epigenetics"
"international marketing" -- "marketing"
"internet studies" -- "social media"
"network security" -- "cyber security"
"network security" -- "computer networks"
"network security" -- "computational"
"unmanned aerial vehicles" -- "robotics"
"flotation" -- "mineral processing"
"flotation" -- "surface chemistry"
"mechanics of materials" -- "multifunctional materials"
"mechanics of materials" -- "solid mechanics"
"health information technology" -- "patient safety"
"channel coding" -- "wireless communications"
"internet of things" -- "smart cities"
"internet of things" -- "wireless sensor networks"
"internet of things" -- "cloud computing"
"framing" -- "political communication"
"target tracking" -- "information fusion"
"hri" -- "robotics"
"atmospheric physics" -- "cloud physics"
"language teaching" -- "learning"
"fatigue" -- "fracture mechanics"
"fatigue" -- "fracture"
"fatigue" -- "creep"
"extinction" -- "ecology"
"biomedical image processing" -- "computer vision"
"mass spectrometry" -- "metabolomics"
"mass spectrometry" -- "bioanalytical chemistry"
"mass spectrometry" -- "hplc"
"mass spectrometry" -- "analytical chemistry"
"mass spectrometry" -- "lipidomics"
"mass spectrometry" -- "proteomics"
"electronic engineering" -- "electrical"
"critical race theory" -- "urban education"
"neurocritical care" -- "neurology"
"research evaluation" -- "bibliometrics"
"exoskeletons" -- "robotics"
"power converters" -- "power electronics"
"analytics" -- "big data"
"neuromorphic engineering" -- "computational neuroscience"
"emulsions" -- "colloids"
"emulsions" -- "foams"
"ethology" -- "ecology"
"animal breeding" -- "genetics"
"exosomes" -- "proteomics"
"exosomes" -- "extracellular vesicles"
"paleoceanography" -- "paleoclimate"
"paleoceanography" -- "paleoclimatology"
"paleoceanography" -- "micropaleontology"
"substance use disorders" -- "addiction"
"crystal growth" -- "semiconductors"
"technology transfer" -- "innovation"
"allergy" -- "immunology"
"allergy" -- "asthma"
"technology management" -- "innovation"
"philosophy" -- "metaphysics"
"philosophy" -- "aesthetics"
"philosophy" -- "phenomenology"
"philosophy" -- "literature"
"philosophy" -- "ethics"
"philosophy" -- "history of philosophy"
"philosophy" -- "theology"
"health" -- "well-being"
"health" -- "neighborhoods"
"health" -- "relationships"
"health" -- "physical education"
"health" -- "safety"
"health" -- "built environment"
"health" -- "aging"
"health" -- "illness"
"signal" -- "image processing"
"traffic operations" -- "traffic safety"
"popular culture" -- "gender"
"crystallography" -- "structural biology"
"crystallography" -- "x-ray diffraction"
"crystallography" -- "diffraction"
"facilities management" -- "building information modeling"
"genetics" -- "breeding"
"genetics" -- "plant breeding"
"genetics" -- "epigenetics"
"genetics" -- "developmental biology"
"genetics" -- "plant molecular biology"
"genetics" -- "plant development"
"genetics" -- "drosophila"
"genetics" -- "c. elegans"
"genetics" -- "genomics"
"genetics" -- "molecular biology"
"genetics" -- "neuroscience"
"genetics" -- "plant biology"
"genetics" -- "cytogenetics"
"collection development" -- "scholarly communication"
"astroparticle physics" -- "neutrino physics"
"astroparticle physics" -- "cosmology"
"randomized algorithms" -- "approximation algorithms"
"spatial statistics" -- "environmental statistics"
"spatial statistics" -- "gis"
"finance" -- "banking"
"finance" -- "accounting"
"finance" -- "economics"
"finance" -- "investments"
"finance" -- "risk management"
"finance" -- "real estate"
"finance" -- "macroeconomics"
"observational cosmology" -- "theoretical"
"cine" -- "comunicacin"
"stochastic systems" -- "optimization"
"mediation" -- "conflict resolution"
"global health" -- "epidemiology"
"global health" -- "medical anthropology"
"political psychology" -- "experimental methods"
"political psychology" -- "social psychology"
"political psychology" -- "experiments"
"software" -- "bioinformatics"
"quantum transport" -- "condensed matter physics"
"simulation" -- "transport modelling"
"simulation" -- "agent-based modeling"
"simulation" -- "optimization"
"simulation" -- "its"
"simulation" -- "system modeling"
"simulation" -- "process modeling"
"food processing" -- "food safety"
"speech" -- "voice"
"speech" -- "audio processing"
"speech" -- "machine learning"
"social entrepreneurship" -- "entrepreneurship"
"cardiac surgery" -- "cardiology"
"data mining" -- "business intelligence"
"data mining" -- "web mining"
"data mining" -- "health informatics"
"data mining" -- "data privacy"
"data mining" -- "graph mining"
"data mining" -- "data streams"
"data mining" -- "decision support systems"
"data mining" -- "social network analysis"
"data mining" -- "social media analytics"
"data mining" -- "applied machine learning"
"data mining" -- "clustering"
"data mining" -- "knowledge discovery"
"data mining" -- "data warehousing"
"data mining" -- "medical informatics"
"data mining" -- "social networks"
"data mining" -- "machine learning"
"data mining" -- "database systems"
"sport psychology" -- "coaching"
"sport psychology" -- "exercise psychology"
"face recognition" -- "face perception"
"face recognition" -- "computer vision"
"description logics" -- "knowledge representation"
"population biology" -- "ecology"
"quantum dots" -- "solar cells"
"quantum dots" -- "nanocrystals"
"climate policy" -- "energy"
"trust" -- "reputation"
"trust" -- "privacy"
"software evolution" -- "software engineering"
"borders" -- "migration"
"remote sensing" -- "earth observation"
"remote sensing" -- "satellite"
"remote sensing" -- "environmental modelling"
"remote sensing" -- "synthetic aperture radar"
"remote sensing" -- "environmental monitoring"
"remote sensing" -- "insar"
"remote sensing" -- "data assimilation"
"remote sensing" -- "gis"
"remote sensing" -- "hydrology"
"remote sensing" -- "hyperspectral imaging"
"remote sensing" -- "soil moisture"
"remote sensing" -- "photogrammetry"
"remote sensing" -- "glaciology"
"remote sensing" -- "land cover"
"remote sensing" -- "geographic information systems"
"remote sensing" -- "vegetation"
"remote sensing" -- "evapotranspiration"
"remote sensing" -- "radiative transfer"
"remote sensing" -- "precision agriculture"
"remote sensing" -- "giscience"
"remote sensing" -- "forestry"
"remote sensing" -- "spatial modeling"
"remote sensing" -- "sar"
"remote sensing" -- "lidar"
"remote sensing" -- "cryosphere"
"remote sensing" -- "geographic information science"
"comparative political economy" -- "comparative politics"
"precision medicine" -- "bioinformatics"
"digital humanities" -- "digital libraries"
"empirical finance" -- "financial econometrics"
"networks" -- "protocols"
"networks" -- "quality of service"
"networks" -- "security"
"networks" -- "complex systems"
"networks" -- "systems"
"networks" -- "system security"
"networks" -- "distributed systems"
"networks" -- "wireless"
"networks" -- "telecommunications"
"networks" -- "qos"
"thin films" -- "xps"
"thin films" -- "cvd"
"thin films" -- "atomic layer deposition"
"thin films" -- "complex oxides"
"thin films" -- "oxides"
"thin films" -- "materials science"
"transportation" -- "travel behaviour"
"transportation" -- "logistics"
"transportation" -- "land use"
"transportation" -- "traffic"
"transportation" -- "transition"
"transportation" -- "travel behavior"
"transportation" -- "road safety"
"transportation" -- "mobile"
"health disparities" -- "hiv prevention"
"health disparities" -- "hiv"
"health disparities" -- "social epidemiology"
"health disparities" -- "health behavior"
"health psychology" -- "behavioral medicine"
"health psychology" -- "psycho-oncology"
"health psychology" -- "chronic illness"
"health psychology" -- "social psychology"
"health psychology" -- "chronic pain"
"health psychology" -- "psychoneuroimmunology"
"health psychology" -- "behaviour change"
"noise" -- "vibration"
"network theory" -- "complex systems"
"homotopy theory" -- "category theory"
"homotopy theory" -- "algebraic topology"
"mammalogy" -- "conservation biology"
"floods" -- "hydrology"
"fire" -- "combustion"
"pharmacognosy" -- "phytochemistry"
"citizenship" -- "migration"
"molecular dynamics simulation" -- "biophysics"
"substance use" -- "hiv"
"software defined radio" -- "cognitive radio"
"emotion" -- "embodiment"
"emotion" -- "psychophysiology"
"emotion" -- "affect"
"emotion" -- "cognition"
"emotion" -- "motivation"
"emotion" -- "social influence"
"emotion" -- "emotion regulation"
"emotion" -- "subjective well-being"
"violence against women" -- "gender"
"hemostasis" -- "thrombosis"
"orthopaedic surgery" -- "sports medicine"
"recognition" -- "object detection"
"nanofibers" -- "electrospinning"
"social computing" -- "human-computer interaction"
"statistical physics" -- "biological physics"
"statistical physics" -- "complex systems"
"computational modeling" -- "cognitive science"
"convex optimization" -- "machine learning"
"program verification" -- "programming languages"
"foreign direct investment" -- "international trade"
"graph drawing" -- "computational geometry"
"molecular virology" -- "immunology"
"traffic simulation" -- "intelligent transportation systems"
"black holes" -- "astrophysics"
"agribusiness" -- "agricultural economics"
"video" -- "image processing"
"constraint programming" -- "artificial intelligence"
"constraint programming" -- "sat"
"biochemical engineering" -- "biotechnology"
"3d modeling" -- "photogrammetry"
"treatment" -- "depression"
"stroke" -- "neurology"
"stroke" -- "neurorehabilitation"
"brazil" -- "latin america"
"american studies" -- "cultural studies"
"american studies" -- "american literature"
"psychopathology" -- "behavioral genetics"
"psychopathology" -- "personality"
"labor" -- "development"
"system security" -- "web security"
"system security" -- "mobile security"
"ecophysiology" -- "ecology"
"tem" -- "sem"
"tem" -- "stem"
"virulence" -- "microbiology"
"desalination" -- "water treatment"
"multiple sclerosis" -- "neurology"
"usable security" -- "privacy"
"dynamic spectrum access" -- "cognitive radio"
"nanoelectronics" -- "electron transport"
"nanoelectronics" -- "graphene"
"nanoelectronics" -- "microelectronics"
"medical physics" -- "dosimetry"
"medical physics" -- "monte carlo"
"medical physics" -- "radiation oncology"
"medical physics" -- "radiation therapy"
"medical physics" -- "radiotherapy"
"medical physics" -- "monte carlo simulation"
"medical physics" -- "radiation physics"
"cardiovascular" -- "physiology"
"system dynamics" -- "control"
"system dynamics" -- "systems thinking"
"family sociology" -- "demography"
"international business" -- "corporate strategy"
"international business" -- "strategic alliances"
"international business" -- "international entrepreneurship"
"international business" -- "international management"
"international business" -- "strategy"
"international business" -- "emerging markets"
"international business" -- "internationalization"
"prediction" -- "data assimilation"
"streams" -- "rivers"
"cancer therapeutics" -- "cancer biology"
"suicide" -- "depression"
"metaphor" -- "language"
"software engineering" -- "software quality"
"software engineering" -- "computing education"
"software engineering" -- "requirements engineering"
"software engineering" -- "enterprise architecture"
"software engineering" -- "information systems"
"software engineering" -- "sbse"
"software engineering" -- "web applications"
"software engineering" -- "program analysis"
"software engineering" -- "adaptive systems"
"software engineering" -- "computer science education"
"software engineering" -- "empirical software engineering"
"software engineering" -- "software testing"
"software engineering" -- "systems engineering"
"software engineering" -- "programming languages"
"software engineering" -- "web engineering"
"software engineering" -- "model-driven engineering"
"software engineering" -- "mining software repositories"
"software engineering" -- "computer science"
"software engineering" -- "service oriented architecture"
"software engineering" -- "web development"
"software engineering" -- "software security"
"software engineering" -- "reverse engineering"
"software engineering" -- "formal methods"
"software engineering" -- "model-driven development"
"software engineering" -- "unitartucs"
"software engineering" -- "software product lines"
"software engineering" -- "software maintenance"
"software engineering" -- "software reliability"
"software engineering" -- "service oriented computing"
"software engineering" -- "software architecture"
"software engineering" -- "open source"
"early intervention" -- "autism"
"environmental physiology" -- "exercise physiology"
"public health" -- "epidemiology"
"public health" -- "health equity"
"public health" -- "tobacco"
"public health" -- "dentistry"
"public health" -- "health education"
"public health" -- "health inequalities"
"public health" -- "community health"
"public health" -- "primary care"
"public health" -- "smoking cessation"
"public health" -- "tobacco control"
"public health" -- "preventive medicine"
"social studies education" -- "teacher education"
"welfare" -- "poverty"
"blended learning" -- "educational technology"
"digital holography" -- "image processing"
"museums" -- "heritage"
"causality" -- "machine learning"
"cognitive aging" -- "memory"
"mbe" -- "solar cells"
"speech technology" -- "phonetics"
"quorum sensing" -- "microbiology"
"environmental change" -- "geomorphology"
"mathematical epidemiology" -- "mathematical biology"
"soft matter" -- "granular materials"
"soft matter" -- "liquid crystals"
"soft matter" -- "biophysics"
"soft matter" -- "colloids"
"soft matter" -- "glass transition"
"soft matter" -- "colloid science"
"soft matter" -- "active matter"
"soft matter" -- "gels"
"genome editing" -- "stem cells"
"optical signal processing" -- "optical communications"
"integrable systems" -- "mathematical physics"
"outsourcing" -- "innovation"
"bioenergy" -- "biomass"
"bioenergy" -- "biofuels"
"pervasive computing" -- "mobile computing"
"steganography" -- "cryptography"
"happiness" -- "well-being"
"data analysis" -- "machine learning"
"thermal conductivity" -- "thermoelectrics"
"energy metabolism" -- "obesity"
"paleobiology" -- "vertebrate paleontology"
"paleobiology" -- "paleontology"
"landscape ecology" -- "conservation biology"
