"epistemology" -- "metaphysics"
"biomedical imaging" -- "image processing"
"quantum chemistry" -- "density functional theory"
"quantum chemistry" -- "computational chemistry"
"labor economics" -- "applied econometrics"
"labor economics" -- "development economics"
"labor economics" -- "health economics"
"labor economics" -- "public economics"
"labor economics" -- "economics of education"
"labor economics" -- "macroeconomics"
"ergonomics" -- "human factors"
"ergonomics" -- "biomechanics"
"adolescence" -- "children"
"higher education" -- "learning"
"pediatrics" -- "infectious diseases"
"biomaterials" -- "drug delivery"
"biomaterials" -- "self-assembly"
"biomaterials" -- "tissue engineering"
"biomaterials" -- "polymers"
"biomaterials" -- "bioengineering"
"rheology" -- "polymers"
"rhetoric" -- "composites"
"cognitive neuroscience" -- "memory"
"cognitive neuroscience" -- "attention"
"cognitive neuroscience" -- "psychology"
"cognitive neuroscience" -- "neuropsychology"
"cognitive neuroscience" -- "cognitive psychology"
"cognitive neuroscience" -- "visual perception"
"computational physics" -- "condensed matter physics"
"smart grid" -- "power systems"
"dynamics" -- "vibration"
"mental health" -- "psychiatry"
"mental health" -- "nursing"
"big data" -- "cloud computing"
"big data" -- "machine learning"
"political communication" -- "journalism"
"political communication" -- "social media"
"political communication" -- "public opinion"
"computational chemistry" -- "theoretical chemistry"
"computational chemistry" -- "molecular modeling"
"logistics" -- "transportation"
"logistics" -- "supply chain management"
"inverse problems" -- "image processing"
"stem cell biology" -- "developmental biology"
"atmospheric chemistry" -- "air pollution"
"digital libraries" -- "digital humanities"
"digital libraries" -- "information retrieval"
"international economics" -- "macroeconomics"
"computational biology" -- "bioinformatics"
"botany" -- "ecology"
"density functional theory" -- "computational materials science"
"aquatic ecology" -- "limnology"
"parallel computing" -- "high performance computing"
"analysis" -- "partial differential equations"
"petrology" -- "geochemistry"
"diabetes" -- "obesity"
"diabetes" -- "cardiovascular disease"
"diabetes" -- "metabolism"
"diabetes" -- "endocrinology"
"sensor networks" -- "wireless networks"
"mri" -- "medical imaging"
"mri" -- "radiology"
"tourism" -- "marketing"
"ethnicity" -- "race"
"neural networks" -- "machine learning"
"organometallic chemistry" -- "catalysis"
"combustion" -- "energy"
"combustion" -- "cfd"
"data analytics" -- "machine learning"
"manufacturing" -- "design"
"geochronology" -- "geochemistry"
"verification" -- "formal methods"
"planetary science" -- "geophysics"
"community ecology" -- "conservation biology"
"algorithms" -- "graph theory"
"algorithms" -- "computational geometry"
"algorithms" -- "complexity"
"algorithms" -- "theoretical computer science"
"algorithms" -- "theory"
"algorithms" -- "machine learning"
"meteorology" -- "climate"
"food" -- "agriculture"
"distributed systems" -- "operating systems"
"distributed systems" -- "networks"
"distributed systems" -- "cloud computing"
"distributed systems" -- "computer networks"
"biomechanics" -- "robotics"
"biomechanics" -- "finite element analysis"
"biomechanics" -- "computational mechanics"
"biomechanics" -- "rehabilitation"
"acoustics" -- "vibration"
"coding theory" -- "information theory"
"economics" -- "econometrics"
"economics" -- "industrial organization"
"economics" -- "economic history"
"economics" -- "finance"
"atomic physics" -- "quantum optics"
"electromagnetics" -- "antennas"
"multimedia" -- "computer vision"
"ecology" -- "evolutionary biology"
"ecology" -- "limnology"
"ecology" -- "entomology"
"ecology" -- "ornithology"
"ecology" -- "biodiversity"
"ecology" -- "conservation"
"ecology" -- "marine biology"
"ecology" -- "environmental science"
"ecology" -- "biology"
"ecology" -- "biogeography"
"ecology" -- "zoology"
"ecology" -- "fisheries"
"ecology" -- "conservation biology"
"ecology" -- "global change"
"ecology" -- "evolution"
"ecology" -- "climate change"
"ecology" -- "ecotoxicology"
"nutrition" -- "epidemiology"
"nutrition" -- "obesity"
"natural language processing" -- "computational linguistics"
"natural language processing" -- "machine learning"
"econometrics" -- "statistics"
"2d materials" -- "graphene"
"heat transfer" -- "thermodynamics"
"heat transfer" -- "thermoelectrics"
"heat transfer" -- "cfd"
"combinatorial optimization" -- "operations research"
"learning sciences" -- "science education"
"learning sciences" -- "educational technology"
"nonlinear optics" -- "quantum optics"
"environmental engineering" -- "wastewater treatment"
"environmental engineering" -- "chemical engineering"
"environmental engineering" -- "water treatment"
"conflict" -- "international relations"
"policy" -- "education"
"ubiquitous computing" -- "hci"
"carbon nanotubes" -- "graphene"
"numerical methods" -- "computational mechanics"
"synthetic biology" -- "protein engineering"
"synthetic biology" -- "metabolic engineering"
"synthetic biology" -- "systems biology"
"neurodegeneration" -- "neuroscience"
"computational fluid dynamics" -- "multiphase flow"
"probability" -- "stochastic processes"
"probability" -- "statistics"
"human genetics" -- "genomics"
"chemistry" -- "materials"
"chemistry" -- "materials science"
"microbial ecology" -- "biogeochemistry"
"microbial ecology" -- "environmental microbiology"
"microbial ecology" -- "microbiology"
"wireless communications" -- "signal processing"
"wireless communications" -- "information theory"
"clinical trials" -- "biostatistics"
"architecture" -- "urban design"
"architecture" -- "art"
"architecture" -- "urban"
"architecture" -- "design"
"international relations" -- "political science"
"international relations" -- "human rights"
"international relations" -- "china"
"environment" -- "energy"
"food safety" -- "microbiology"
"spatial analysis" -- "gis"
"bioethics" -- "ethics"
"systems biology" -- "bioinformatics"
"electronics" -- "nanotechnology"
"programming languages" -- "compilers"
"programming languages" -- "software engineering"
"biogeochemistry" -- "soil science"
"biogeochemistry" -- "oceanography"
"semantics" -- "pragmatics"
"semantics" -- "syntax"
"inequality" -- "poverty"
"public policy" -- "political science"
"electrochemistry" -- "catalysis"
"electrochemistry" -- "corrosion"
"electrochemistry" -- "materials science"
"electrochemistry" -- "fuel cells"
"electrochemistry" -- "nanomaterials"
"electrochemistry" -- "energy storage"
"plant physiology" -- "photosynthesis"
"plant physiology" -- "molecular biology"
"bilingualism" -- "psycholinguistics"
"hydrology" -- "climate"
"hydrology" -- "hydrogeology"
"hydrology" -- "geomorphology"
"hydrology" -- "remote sensing"
"hydrology" -- "climate change"
"hydrology" -- "water resources"
"plant ecology" -- "conservation biology"
"environmental chemistry" -- "analytical chemistry"
"statistics" -- "psychometrics"
"statistics" -- "biostatistics"
"statistics" -- "machine learning"
"quantum computing" -- "quantum information"
"consumer behavior" -- "decision making"
"consumer behavior" -- "marketing"
"power systems" -- "renewable energy"
"power systems" -- "optimization"
"computer graphics" -- "computer vision"
"computer graphics" -- "visualization"
"computer graphics" -- "virtual reality"
"innate immunity" -- "inflammation"
"image processing" -- "computer vision"
"image processing" -- "signal"
"management" -- "organizational behavior"
"management" -- "strategy"
"management" -- "marketing"
"management" -- "leadership"
"language" -- "music"
"language" -- "cognition"
"language" -- "literacy"
"supply chain management" -- "operations research"
"supply chain management" -- "operations management"
"wastewater treatment" -- "water"
"computer vision" -- "image analysis"
"computer vision" -- "medical imaging"
"computer vision" -- "augmented reality"
"computer vision" -- "robotics"
"computer vision" -- "imaging"
"computer vision" -- "machine learning"
"biofuels" -- "renewable energy"
"biofuels" -- "bioenergy"
"numerical modeling" -- "rock mechanics"
"chemical biology" -- "natural products"
"chemical biology" -- "medicinal chemistry"
"network security" -- "computational"
"network security" -- "computer networks"
"organic chemistry" -- "catalysis"
"organic chemistry" -- "supramolecular chemistry"
"organic chemistry" -- "medicinal chemistry"
"computer security" -- "cryptography"
"measurement" -- "instrumentation"
"aging" -- "disability"
"aging" -- "cognition"
"aging" -- "health"
"aging" -- "dementia"
"speciation" -- "evolution"
"medical image analysis" -- "machine learning"
"obesity" -- "physical activity"
"mass spectrometry" -- "analytical chemistry"
"mass spectrometry" -- "proteomics"
"mass spectrometry" -- "metabolomics"
"information systems" -- "software engineering"
"evaluation" -- "assessment"
"medicinal chemistry" -- "drug discovery"
"medicinal chemistry" -- "organic synthesis"
"applied linguistics" -- "second language acquisition"
"assessment" -- "medical education"
"assessment" -- "personality"
"plasmonics" -- "photonics"
"plasmonics" -- "nanofabrication"
"plasmonics" -- "metamaterials"
"mechatronics" -- "robotics"
"innovation" -- "technology"
"innovation" -- "knowledge management"
"innovation" -- "design"
"innovation" -- "intellectual property"
"innovation" -- "entrepreneurship"
"innovation" -- "creativity"
"innovation" -- "economic geography"
"innovation" -- "strategy"
"biosensors" -- "nanotechnology"
"pharmaceutics" -- "drug delivery"
"rock mechanics" -- "geotechnical engineering"
"graph theory" -- "combinatorics"
"geophysics" -- "seismology"
"geophysics" -- "geology"
"crystallography" -- "structural biology"
"political philosophy" -- "ethics"
"political philosophy" -- "political theory"
"political philosophy" -- "social"
"health policy" -- "health services research"
"health policy" -- "health economics"
"genetics" -- "plant breeding"
"genetics" -- "genomics"
"genetics" -- "neuroscience"
"genetics" -- "developmental biology"
"genetics" -- "plant biology"
"genetics" -- "epigenetics"
"genetics" -- "molecular biology"
"psycholinguistics" -- "linguistics"
"psycholinguistics" -- "cognitive science"
"psycholinguistics" -- "second language acquisition"
"surface science" -- "catalysis"
"surface science" -- "heterogeneous catalysis"
"information science" -- "library"
"quantitative methods" -- "social psychology"
"finance" -- "banking"
"finance" -- "accounting"
"finance" -- "risk management"
"finance" -- "macroeconomics"
"global health" -- "epidemiology"
"strategy" -- "international business"
"political psychology" -- "social psychology"
"political psychology" -- "public opinion"
"simulation" -- "modeling"
"simulation" -- "optimization"
"speech" -- "machine learning"
"taxonomy" -- "systematics"
"data mining" -- "health informatics"
"data mining" -- "medical informatics"
"data mining" -- "social network analysis"
"data mining" -- "machine learning"
"signal processing" -- "compressed sensing"
"signal processing" -- "communication"
"signal processing" -- "machine learning"
"3d printing" -- "additive manufacturing"
"3d printing" -- "tissue engineering"
"neurophysiology" -- "neuroscience"
"vaccines" -- "immunology"
"science education" -- "engineering education"
"science education" -- "teacher education"
"computational social science" -- "machine learning"
"trust" -- "privacy"
"neuroscience" -- "fmri"
"neuroscience" -- "gene therapy"
"neuroscience" -- "pharmacology"
"neuroscience" -- "stress"
"neuroscience" -- "alzheimer s disease"
"neuroscience" -- "vision"
"neuroscience" -- "physiology"
"neuroscience" -- "addiction"
"neuroscience" -- "biomedical engineering"
"neuroscience" -- "sleep"
"neuroscience" -- "psychology"
"neuroscience" -- "neurodegenerative diseases"
"neuroscience" -- "motor control"
"neuroscience" -- "neurology"
"neuroscience" -- "plasticity"
"neuroscience" -- "ion channels"
"neuroscience" -- "cognition"
"neuroscience" -- "autism"
"neuroscience" -- "neurobiology"
"neuroscience" -- "neurosurgery"
"neuroscience" -- "ophthalmology"
"neuroscience" -- "pain"
"neuroscience" -- "psychiatry"
"neuroscience" -- "epilepsy"
"teacher education" -- "mathematics education"
"remote sensing" -- "gis"
"networks" -- "security"
"networks" -- "systems"
"networks" -- "complex systems"
"networks" -- "telecommunications"
"digital signal processing" -- "machine learning"
"thin films" -- "materials science"
"health disparities" -- "hiv"
"health psychology" -- "social psychology"
"cancer research" -- "molecular biology"
"emotion" -- "cognition"
"privacy" -- "security"
"biostatistics" -- "epidemiology"
"linguistics" -- "sociolinguistics"
"linguistics" -- "syntax"
"computational modeling" -- "cognitive science"
"optoelectronics" -- "photonics"
"immigration" -- "race"
"stress" -- "depression"
"corporate finance" -- "asset pricing"
"corporate finance" -- "corporate governance"
"finite element method" -- "numerical analysis"
"nuclear physics" -- "particle physics"
"medical imaging" -- "magnetic resonance imaging"
"medical imaging" -- "ultrasound"
"medical imaging" -- "medical physics"
"proteomics" -- "bioinformatics"
"trauma" -- "surgery"
"structural engineering" -- "earthquake engineering"
"structural engineering" -- "civil engineering"
"antennas" -- "metamaterials"
"antennas" -- "microwave"
"virology" -- "immunology"
"earthquake engineering" -- "structural dynamics"
"earthquake engineering" -- "structures"
"behavioral neuroscience" -- "addiction"
"international trade" -- "industrial organization"
"coatings" -- "corrosion"
"coatings" -- "tribology"
"surface chemistry" -- "nanotechnology"
"biomedical informatics" -- "machine learning"
"human geography" -- "urban studies"
"nanoelectronics" -- "graphene"
"paleontology" -- "geology"
"optics" -- "microscopy"
"optics" -- "photonics"
"optics" -- "physics"
"optics" -- "biophotonics"
"library" -- "information literacy"
"library" -- "open access"
"fuel cells" -- "batteries"
"ecosystem services" -- "landscape ecology"
"vlsi" -- "computer architecture"
"philosophy" -- "literature"
"philosophy" -- "ethics"
"clinical psychology" -- "anxiety"
"gis" -- "geography"
"adaptation" -- "climate change"
"software engineering" -- "formal methods"
"public health" -- "epidemiology"
"epidemiology" -- "hiv"
"epidemiology" -- "mathematical modeling"
"spintronics" -- "magnetism"
"cell biology" -- "molecular"
"cell biology" -- "biochemistry"
"medical devices" -- "biomedical engineering"
"philosophy of mind" -- "cognitive science"
"social media" -- "new media"
"biophysics" -- "statistical mechanics"
"biophysics" -- "biochemistry"
"biophysics" -- "soft matter"
"biophysics" -- "molecular dynamics"
"mobile computing" -- "wireless networks"
"mobile computing" -- "pervasive computing"
"soft matter" -- "colloids"
"phylogenetics" -- "evolution"
"nanotechnology" -- "graphene"
"nanotechnology" -- "solar cells"
"nanotechnology" -- "drug delivery"
"nanotechnology" -- "mems"
"nanotechnology" -- "materials science"
"evolution" -- "animal behavior"
"evolution" -- "behavior"
"evolution" -- "genomics"
"evolution" -- "systematics"
"evolution" -- "development"
"drug delivery" -- "nanoparticles"
"drug delivery" -- "nanomedicine"
"behavioural ecology" -- "evolutionary biology"
"behavioural ecology" -- "animal behaviour"
"vascular biology" -- "cancer"
"energy harvesting" -- "mems"
"memory" -- "learning"
"security" -- "cryptography"
"number theory" -- "algebraic geometry"
"number theory" -- "combinatorics"
"metagenomics" -- "bioinformatics"
"landscape ecology" -- "conservation biology"
"biochemistry" -- "structural biology"
"biochemistry" -- "molecular biology"
"mathematical biology" -- "dynamical systems"
"social psychology" -- "psychology"
"social psychology" -- "personality"
"social psychology" -- "social cognition"
"emergency medicine" -- "medical education"
"applied statistics" -- "machine learning"
"earth sciences" -- "geology"
"biotechnology" -- "microbiology"
"corporate social responsibility" -- "corporate governance"
"quantum physics" -- "quantum information"
"energy" -- "catalysis"
"energy" -- "sustainability"
"computer networks" -- "wireless networks"
"urban planning" -- "urban design"
"photovoltaics" -- "solar energy"
"photovoltaics" -- "solar cells"
"computational mechanics" -- "fracture mechanics"
"computational mechanics" -- "solid mechanics"
"applied mathematics" -- "numerical analysis"
"molecular genetics" -- "microbiology"
"photonics" -- "optical communications"
"psychology" -- "education"
"particle physics" -- "cosmology"
"data science" -- "machine learning"
"perception" -- "attention"
"environmental" -- "resource economics"
"micro" -- "mems"
"organic electronics" -- "solar cells"
"scientific computing" -- "numerical analysis"
"scientific computing" -- "high performance computing"
"physics" -- "astrophysics"
"physics" -- "materials science"
"physics" -- "condensed matter"
"plasma physics" -- "astrophysics"
"supercapacitors" -- "batteries"
"intelligent transportation systems" -- "machine learning"
"archaeology" -- "anthropology"
"planning" -- "artificial intelligence"
"agriculture" -- "climate change"
"vibration" -- "structural dynamics"
"bayesian statistics" -- "machine learning"
"stem cells" -- "tissue engineering"
"stem cells" -- "cancer"
"organizational behavior" -- "human resource management"
"hematology" -- "oncology"
"stroke" -- "neurology"
"fatigue" -- "fracture mechanics"
"geotechnical engineering" -- "civil engineering"
"recommender systems" -- "machine learning"
"signal transduction" -- "cancer biology"
"breast cancer" -- "cancer"
"environmental economics" -- "resource economics"
"environmental economics" -- "agricultural economics"
"environmental economics" -- "development economics"
"sedimentology" -- "geology"
"sociolinguistics" -- "discourse analysis"
"sensors" -- "instrumentation"
"sensors" -- "mems"
"anthropology" -- "sociology"
"demography" -- "sociology"
"learning" -- "teaching"
"organizations" -- "work"
"safety" -- "health"
"urban studies" -- "geography"
"political science" -- "comparative politics"
"electrical engineering" -- "materials science"
"evolutionary biology" -- "behavioral ecology"
"cyber-physical systems" -- "embedded systems"
"information security" -- "cryptography"
"control theory" -- "robotics"
"geology" -- "geochemistry"
"geology" -- "geomorphology"
"statistical genetics" -- "bioinformatics"
"conservation biology" -- "marine ecology"
"conservation biology" -- "evolutionary ecology"
"conservation biology" -- "herpetology"
"climate change" -- "forest ecology"
"climate change" -- "sustainable development"
"climate change" -- "air pollution"
"communication" -- "information"
"communication" -- "media"
"polymer science" -- "materials science"
"microbiology" -- "immunology"
"microbiology" -- "molecular biology"
"scheduling" -- "operations research"
"religion" -- "politics"
"evolutionary computation" -- "artificial intelligence"
"economics of education" -- "education policy"
"oncology" -- "immunology"
"metabolism" -- "mitochondria"
"regenerative medicine" -- "tissue engineering"
"eeg" -- "fmri"
"wireless sensor networks" -- "internet of things"
"energy systems" -- "optimization"
"materials science" -- "electron microscopy"
"materials science" -- "engineering"
"materials science" -- "condensed matter physics"
"materials science" -- "chemical engineering"
"experimental economics" -- "behavioral economics"
"experimental economics" -- "game theory"
"biometrics" -- "pattern recognition"
"sociology" -- "education"
"sociology" -- "criminology"
"political economy" -- "comparative politics"
"political economy" -- "development economics"
"political economy" -- "economic development"
"partial differential equations" -- "numerical analysis"
"astronomy" -- "astrophysics"
"technology" -- "education"
"technology" -- "food science"
"technology" -- "science"
"open access" -- "copyright"
"condensed matter physics" -- "theoretical physics"
"condensed matter physics" -- "magnetism"
"condensed matter physics" -- "superconductivity"
"statistical signal processing" -- "machine learning"
"gene expression" -- "genomics"
"anxiety" -- "depression"
"complex systems" -- "statistical physics"
"complex systems" -- "complex networks"
"complex systems" -- "nonlinear dynamics"
"volcanology" -- "geochemistry"
"social cognition" -- "developmental psychology"
"pharmacology" -- "toxicology"
"biomedical optics" -- "biophotonics"
"youth" -- "children"
"project management" -- "risk management"
"hiv" -- "aids"
"pathology" -- "immunology"
"renewable energy" -- "power electronics"
"renewable energy" -- "energy efficiency"
"auditing" -- "corporate governance"
"auditing" -- "accounting"
"composites" -- "polymers"
"pattern recognition" -- "machine learning"
"nmr" -- "structural biology"
"cancer" -- "immunology"
"cancer" -- "biomarkers"
"cancer" -- "cell signaling"
"microbiome" -- "bioinformatics"
"computational intelligence" -- "machine learning"
"cosmology" -- "astrophysics"
"nanocomposites" -- "polymers"
"nanomaterials" -- "photocatalysis"
"nanomaterials" -- "energy conversion"
"nanomedicine" -- "molecular imaging"
"deep learning" -- "machine learning"
"strategic management" -- "entrepreneurship"
"computational neuroscience" -- "machine learning"
"embedded systems" -- "computer architecture"
"membranes" -- "polymers"
"inflammation" -- "immunology"
"differential geometry" -- "mathematical physics"
"data analysis" -- "machine learning"
"cancer biology" -- "molecular biology"
"reinforcement learning" -- "machine learning"
"molecular simulation" -- "statistical mechanics"
"soil" -- "water"
"materials" -- "mechanics"
"politics" -- "history"
"compilers" -- "computer architecture"
"quantum dots" -- "solar cells"
"social policy" -- "poverty"
"human-robot interaction" -- "robotics"
"optimization" -- "reliability"
"optimization" -- "operations research"
"optimization" -- "game theory"
"optimization" -- "optimal control"
"optimization" -- "machine learning"
"structural dynamics" -- "structural health monitoring"
"machine learning" -- "crowdsourcing"
"machine learning" -- "artificial intelligence"
"machine learning" -- "bioinformatics"
"machine learning" -- "information retrieval"
"machine learning" -- "text mining"
"machine learning" -- "healthcare"
"composite materials" -- "fracture mechanics"
"quantum optics" -- "quantum information"
"cloud computing" -- "internet of things"
"cloud computing" -- "distributed computing"
"physical activity" -- "exercise"
"e-learning" -- "educational technology"
"educational technology" -- "education"
"computer architecture" -- "high performance computing"
"control systems" -- "robotics"
"physical oceanography" -- "climate"
"bioinformatics" -- "molecular evolution"
"bioinformatics" -- "genomics"
"sustainability" -- "resilience"
"paleoclimate" -- "geochemistry"
"genomics" -- "gene regulation"
"multi-agent systems" -- "artificial intelligence"
"ontologies" -- "semantic web"
"knowledge representation" -- "artificial intelligence"
"cognitive science" -- "artificial intelligence"
"copyright" -- "intellectual property"
"mems" -- "microfluidics"
"infectious diseases" -- "immunology"
"artificial intelligence" -- "semantic web"
"artificial intelligence" -- "logic"
"robotics" -- "haptics"
"gastroenterology" -- "immunology"
